case,transfer_mode,policy,stable,global_rho_min,global_rho_max,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,solid_slowdown,projection_zone_ux_final,area_scale_final,bb_link_count,active_reaction_particle_count,max_grid_reaction_norm,cell_force_max_norm
box_48,engineering,engineering,True,0.9897503852844238,1.0139952898025513,0.9897503852844238,1.0139952898025513,0.009996211156249046,0.992804229259491,0.06120705604553223,-0.01423472911119461,0.00037514750147238374,1.0,5964,8622,4.147972504142672e-06,0.0
box_48,link_area_experimental,inverse_length,True,0.9897376298904419,1.0140708684921265,0.9897376298904419,1.0140708684921265,0.009917681105434895,0.9927746653556824,0.06146829202771187,-0.014234490692615509,0.00037443634937517345,0.7875720858573914,5964,8622,4.148145308136009e-06,0.0
squid_proxy_48,engineering,engineering,True,0.9918613433837891,1.0105931758880615,0.9918613433837891,1.0105931758880615,0.0064859408885240555,0.994595468044281,0.06466266512870789,-0.00013245455920696259,0.00020815069728996605,1.0,6616,3299,1.0526945516176056e-05,0.0
squid_proxy_48,link_area_experimental,inverse_length,True,0.9921447038650513,1.0105152130126953,0.9921447038650513,1.0105152130126953,0.006503075361251831,0.9948464632034302,0.06264422833919525,-0.00018802843987941742,0.00020737266459036618,0.7993974089622498,6606,3299,1.0526795449550264e-05,0.0
