canonical_import_pass,canonical_module,error,legacy_import_pass,legacy_module,pass,same_object,symbol
True,src.mpm_lbm.diagnostics.geometry_update_config,,True,src.diagnostic_geometry_update_config,True,True,DiagnosticGeometryUpdateConfig
True,src.mpm_lbm.diagnostics.geometry_update_config,,True,src.diagnostic_geometry_update_config,True,True,validate_diagnostic_geometry_update_config
True,src.mpm_lbm.diagnostics.geometry_update_config,,True,src.diagnostic_geometry_update_config,True,True,summarize_diagnostic_geometry_update_config_validation
True,src.mpm_lbm.diagnostics.geometry_update_config,,True,src.diagnostic_geometry_update_config,True,True,mutation_flags
True,src.mpm_lbm.diagnostics.geometry_update_config,,True,src.diagnostic_geometry_update_config,True,True,mutation_flag_enabled_count
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,load_step44_inputs
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,compute_runtime_displaced_copy_rows
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,runtime_copy_row
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,summarize_runtime_displaced_copy_rows
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,runtime_copy_quality_summary
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,original_vs_displaced_rows
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,summarize_original_vs_displaced
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,cycle_phase_closure_rows
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,summarize_cycle_phase_closure
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,selected_schedule_rows
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,geometry_and_region_hashes
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,write_runtime_copy_rows
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,write_csv_rows
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,write_json
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,read_json
True,src.mpm_lbm.diagnostics.geometry_update,,True,src.diagnostic_geometry_update,True,True,file_hash
True,src.mpm_lbm.diagnostics.geometry_projection,,True,src.diagnostic_geometry_projection,True,True,compute_projection_only_rows
True,src.mpm_lbm.diagnostics.geometry_projection,,True,src.diagnostic_geometry_projection,True,True,runtime_displaced_union_points
True,src.mpm_lbm.diagnostics.geometry_projection,,True,src.diagnostic_geometry_projection,True,True,project_runtime_geometry_copy_to_grid
True,src.mpm_lbm.diagnostics.geometry_projection,,True,src.diagnostic_geometry_projection,True,True,summarize_projection_only_rows
True,src.mpm_lbm.diagnostics.geometry_projection,,True,src.diagnostic_geometry_projection,True,True,write_projection_only_rows
True,src.mpm_lbm.diagnostics.geometry_state_guard,,True,src.diagnostic_geometry_state_guard,True,True,compute_state_mutation_guard
True,src.mpm_lbm.diagnostics.geometry_state_guard,,True,src.diagnostic_geometry_state_guard,True,True,forbidden_output_counts
True,src.mpm_lbm.diagnostics.geometry_state_guard,,True,src.diagnostic_geometry_state_guard,True,True,write_state_mutation_guard
True,src.mpm_lbm.sim.geometry_displacement.config,,True,src.geometry_displacement_config,True,True,GeometryDisplacementConfig
True,src.mpm_lbm.sim.geometry_displacement.config,,True,src.geometry_displacement_config,True,True,validate_geometry_displacement_config
True,src.mpm_lbm.sim.geometry_displacement.config,,True,src.geometry_displacement_config,True,True,summarize_geometry_displacement_config_validation
True,src.mpm_lbm.sim.geometry_displacement.field,,True,src.geometry_displacement_field,True,True,load_geometry_displacement_inputs
