metric,value
artifact_budget_pass,True
output_guard_pass,True
pass_count,44
private_absolute_path_count,0
protected_diagnostics_edit_count,0
protected_external_edit_count,0
protected_real_geometry_candidate_edit_count,0
protected_sim_edit_count,0
row_count,44
step98_dense_displacement_output_count,0
step98_dense_wall_velocity_output_count,0
step98_displaced_particle_output_count,0
step98_forbidden_file_count,0
step98_ggui_screenshot_count,1
step98_ggui_video_count,0
step98_large_file_count,0
step98_optional_driver_run_dir_count,0
step98_particle_npy_count,0
step98_raw_geometry_output_count,0
step98_real_geometry_candidate_output_count,0
step98_required_driver_run_dir_count,1
step98_sparse_wall_velocity_output_count,0
step98_total_size_bytes,1112911
step98_total_size_mb,1.061354637145996
step98_vtr_count,0
