comparison,left_case,right_case,mode,reaction_transfer_mode,max_abs_float_delta,int_mismatch_count,comparison_pass,notes,rho_min_global_delta,rho_max_global_delta,lbm_max_v_global_delta,mpm_min_J_global_delta,mpm_max_speed_global_delta,projected_mass_delta,cell_force_max_norm_delta,hydro_force_max_norm_delta,area_scale_final_delta,area_scale_min_delta,area_scale_max_delta,raw_area_scale_final_delta,active_cell_count_delta,bb_link_count_min_delta,bb_link_count_max_delta,active_reaction_particle_count_max_delta,completed_lbm_steps_delta,total_mpm_substeps_delta
static_vs_prescribed_engineering,squid_proxy_static_48_moving_boundary,squid_proxy_prescribed_interface_48_moving_boundary,moving_boundary,engineering,1.564621925354004e-07,0,True,Step 34 no-op comparison over accepted short-driver diagnostics,0.0,0.0,3.725290298461914e-09,1.1920928955078125e-07,1.564621925354004e-07,1.6763806343078613e-08,0.0,2.9802322387695312e-08,0.0,0.0,0.0,0.0,0,0,0,0,0,0
static_vs_prescribed_link_area_experimental,squid_proxy_static_48_link_area,squid_proxy_prescribed_interface_48_link_area,moving_boundary,link_area_experimental,9.5367431640625e-07,0,True,Step 34 no-op comparison over accepted short-driver diagnostics,5.960464477539063e-08,1.1920928955078125e-07,5.122274160385132e-08,5.960464477539063e-08,1.4901161193847656e-08,1.30385160446167e-08,0.0,2.9802322387695312e-08,9.5367431640625e-07,0.0,0.0,9.5367431640625e-07,0,0,0,0,0,0
