time_s,step,fluid_force_x_n,fluid_force_y_n,fluid_force_magnitude_n
0.0,0,0.0,0.0,0.0
0.005,10,0.0,0.40824753046035767,0.40824753046035767
0.01,20,0.0,0.4082478880882263,0.4082478880882263
0.015,30,0.0,0.40825027227401733,0.40825027227401733
0.02,40,0.0,0.408253014087677,0.408253014087677
0.025,50,0.0,0.41124552488327026,0.41124552488327026
0.03,60,0.0,0.4185091257095337,0.4185091257095337
0.035,70,0.0,0.4204556345939636,0.4204556345939636
0.04,80,0.0,0.42091232538223267,0.42091232538223267
0.045,90,0.0,0.4218416213989258,0.4218416213989258
0.05,100,0.0,0.42256414890289307,0.42256414890289307
0.055,110,0.0,0.42336416244506836,0.42336416244506836
0.06,120,0.0,0.4236793518066406,0.4236793518066406
0.065,130,0.0,0.41790127754211426,0.41790127754211426
0.07,140,0.0,0.41341227293014526,0.41341227293014526
0.075,150,0.0,0.41568636894226074,0.41568636894226074
0.08,160,0.0,0.41649124026298523,0.41649124026298523
0.085,170,0.0,0.4151762127876282,0.4151762127876282
0.09,180,0.0,0.41467276215553284,0.41467276215553284
0.095,190,0.0,0.41473880410194397,0.41473880410194397
0.1,200,0.0,0.4145391583442688,0.4145391583442688
0.105,210,0.0,0.41522639989852905,0.41522639989852905
0.11,220,0.0,0.4143570363521576,0.4143570363521576
0.115,230,0.0,0.41168853640556335,0.41168853640556335
0.12,240,0.0,0.41101884841918945,0.41101884841918945
0.125,250,0.0,0.4103790819644928,0.4103790819644928
