metric,value
artifact_check_count,6
artifact_pass_count,6
pass_count,6
planned_step96_activation_feature_count,4
row_count,6
step95_activation_feature_count,0
step95_activation_guard_pass,True
step95_artifact_budget_pass,True
step95_driver_run_dir_count,0
step95_ggui_screenshot_count,0
step95_ggui_video_count,0
step95_output_guard_pass,True
step95_particle_npy_count,0
step95_step92_regression_guard_pass,True
step95_step94_regression_guard_pass,True
step95_taichi_ggui_10step_visualization_plan_guard_matrix_pass,True
step95_taichi_ggui_10step_visualization_plan_guard_quality_pass,True
step95_vtr_count,0
step96_step95_regression_guard_pass,True
