step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
25,43.58148106012532,-4.7296286568965005e-05,43.58152835641189,1.0000010852381658
50,43.782268788227306,-4.7296286568965005e-05,43.78231608451387,1.000001080261208
75,43.78934324358248,1.0314284759401566,42.75791476764232,0.9764456737749471
100,43.80362140844787,81.81791314251132,38.01429173406345,0.46462064692177796
125,43.81264048057476,81.82567375718794,38.013033276613186,0.4645612010408157
150,43.823973368678914,82.33419520181647,38.51022183313756,0.46773059163014613
175,40.561166615605146,82.63912710827381,42.077960492668666,0.5091772138098472
200,41.28134272853347,82.8385485844671,41.55720585593364,0.5016650649493145
225,40.99226952463592,82.9522085499589,41.959939025322974,0.5058326928095246
250,40.94743373461447,33.4633688033784,7.48406493123607,0.18277250241715384
275,40.91254247208748,9.071036367806652,31.84150610428083,0.7782822621205868
300,40.89361416517525,6.644416576073391,34.24919758910186,0.8375194584358422
325,41.01322110018424,5.43971622449011,35.57350487569413,0.8673667642148284
350,43.221487829331735,4.650933940517505,38.57055388881423,0.8923930162033616
375,43.43362715945503,4.150643339027665,39.28298382042736,0.9044371006872237
400,43.542527274703616,5.830933811048355,37.71159346365526,0.8660864636023118
425,43.57260701019192,73.94370583375837,30.37109882356645,0.4107327118801338
450,43.63725831868373,73.62598912893445,29.988730810250722,0.40731175451828844
475,43.62751941462238,75.72007606150808,32.092556646885704,0.4238315426521315
500,42.40629367615621,77.14268504674376,34.736391370587555,0.45028755933941655
