case,reaction_transfer_mode,application_report_count,timeseries_row_count,applied_cell_count_min,applied_cell_count_max,max_applied_velocity_norm,mean_applied_velocity_norm_max,wall_velocity_cap_lbm,lbm_population_update_count_max,report_pass_count,finite_pass,cap_pass,apply_to_lbm_solid_vel_all,apply_to_lbm_populations_any,modify_bounceback_formula_any,phase_sequence,repeatable_phase_sequence,application_envelope_pass
experimental_48_moving_boundary,engineering,20,20,2136,2136,0.007021783310068709,0.004492300278202922,0.01,0,20,True,True,True,False,False,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.5, 0.5]",True,True
experimental_48_link_area,link_area_experimental,20,20,2136,2136,0.007021783310068709,0.004492664642810305,0.01,0,20,True,True,True,False,False,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.5, 0.5]",True,True
