case,mode,reaction_transfer_mode,n_grid,init_time,projection_time,coupling_time,lbm_step_time,mpm_substep_time,diagnostics_time,export_time,total_time,quality_report_size_bytes,notes
mesh_cube,moving_boundary,engineering,48,61.792407000029925,6.076733199821319,0.5990615000482649,35.73375179991126,28.802707899885718,3.724461000005249,1.100008375942707e-06,136.73283619998256,1278,workflow diagnostic only; not a production benchmark
mesh_cube,moving_boundary,link_area_experimental,48,38.27564659999916,0.77250710001681,0.5978582997922786,4.720737000054214,4.930465900048148,2.2825187000562437,2.100015990436077e-06,51.58360289997654,1278,workflow diagnostic only; not a production benchmark
mesh_ellipsoid,moving_boundary,engineering,48,37.8169844999793,0.757038599869702,0.5808942998992279,4.741900800145231,4.0537446001544595,1.9999936000676826,2.00001522898674e-06,49.95441679999931,1352,workflow diagnostic only; not a production benchmark
mesh_ellipsoid,moving_boundary,link_area_experimental,48,35.17869949998567,0.7330365999368951,0.5926607002038509,4.735869999800343,4.733608099981211,1.8500900999642909,1.300009898841381e-06,47.82794170000125,1352,workflow diagnostic only; not a production benchmark
voxel_sphere,moving_boundary,engineering,48,63.48980550002307,0.8510265001677908,1.5999505000072531,24.343818499648478,28.77063020010246,3.1276747000520118,1.6999547369778156e-06,122.18679470004281,1077,workflow diagnostic only; not a production benchmark
voxel_sphere,moving_boundary,link_area_experimental,48,91.34104199998546,6.298942499968689,1.5897323999670334,55.69265669985907,55.04722100007348,5.15159180003684,1.800013706088066e-06,215.12517949996982,1077,workflow diagnostic only; not a production benchmark
mesh_cube,moving_boundary,engineering,64,89.64968500001123,6.195963200065307,1.5724496999755502,55.0499540999881,52.743463100050576,4.653256500023417,1.400010660290718e-06,209.86910940002417,1278,workflow diagnostic only; not a production benchmark
mesh_cube,moving_boundary,link_area_experimental,64,92.91823670000304,6.23064790002536,1.5672958000795916,55.32416989997728,53.44137009995757,5.117962500022259,1.100008375942707e-06,214.60355560004245,1278,workflow diagnostic only; not a production benchmark
voxel_sphere,moving_boundary,engineering,64,89.48850179999135,6.270401099987794,1.5552480000187643,54.13454490003642,52.47038889990654,3.8222083000000566,1.800013706088066e-06,207.7451603000518,1077,workflow diagnostic only; not a production benchmark
