case,reaction_transfer_mode,timeseries_row_count,applied_cell_count_min,applied_cell_count_max,max_applied_velocity_norm,mean_applied_velocity_norm_max,wall_velocity_cap_lbm,cap_pass,finite_pass,repeatable_phase_sequence,lbm_population_update_count_max,modify_bounceback_formula_any,quality_pass
experimental_48_moving_boundary,engineering,20,2136,2136,0.007021783310068709,0.004492300278202922,0.01,True,True,True,0,False,True
experimental_48_link_area,link_area_experimental,20,2136,2136,0.007021783310068709,0.004492664642810305,0.01,True,True,True,0,False,True
