experiment_path,legacy_contains_implementation_body,legacy_imports_experiment,legacy_is_shim,legacy_path,nonblank_line_count,pass
experiments/steps/real_geometry_feasibility/feasibility.py,False,True,True,src/real_geometry_feasibility.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/coupling.py,False,True,True,src/runtime_geometry_wall_velocity_coupling.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/coupling_config.py,False,True,True,src/runtime_geometry_wall_velocity_coupling_config.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_diagnostics.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/envelope.py,False,True,True,src/runtime_geometry_wall_velocity_envelope.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/envelope_config.py,False,True,True,src/runtime_geometry_wall_velocity_envelope_config.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/envelope_diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_envelope_diagnostics.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/envelope_state_guard.py,False,True,True,src/runtime_geometry_wall_velocity_envelope_state_guard.py,4,True
experiments/steps/runtime_geometry_wall_velocity_shared/state_guard.py,False,True,True,src/runtime_geometry_wall_velocity_state_guard.py,4,True
experiments/steps/step48_10step_proxy/config.py,False,True,True,src/runtime_geometry_wall_velocity_10step_config.py,4,True
experiments/steps/step48_10step_proxy/diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_10step_diagnostics.py,4,True
experiments/steps/step48_10step_proxy/envelope.py,False,True,True,src/runtime_geometry_wall_velocity_10step_envelope.py,4,True
experiments/steps/step48_10step_proxy/state_guard.py,False,True,True,src/runtime_geometry_wall_velocity_10step_state_guard.py,4,True
experiments/steps/step49_20step_proxy/config.py,False,True,True,src/runtime_geometry_wall_velocity_20step_config.py,4,True
experiments/steps/step49_20step_proxy/diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_20step_diagnostics.py,4,True
experiments/steps/step49_20step_proxy/envelope.py,False,True,True,src/runtime_geometry_wall_velocity_20step_envelope.py,4,True
experiments/steps/step49_20step_proxy/state_guard.py,False,True,True,src/runtime_geometry_wall_velocity_20step_state_guard.py,4,True
experiments/steps/step50_one_cycle_proxy/config.py,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_config.py,4,True
experiments/steps/step50_one_cycle_proxy/diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_diagnostics.py,4,True
experiments/steps/step50_one_cycle_proxy/envelope.py,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_envelope.py,4,True
experiments/steps/step50_one_cycle_proxy/state_guard.py,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_state_guard.py,4,True
experiments/steps/step51_transfer_comparison_proxy/config.py,False,True,True,src/runtime_geometry_wall_velocity_transfer_config.py,4,True
experiments/steps/step51_transfer_comparison_proxy/diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_transfer_diagnostics.py,4,True
experiments/steps/step51_transfer_comparison_proxy/envelope.py,False,True,True,src/runtime_geometry_wall_velocity_transfer_envelope.py,4,True
experiments/steps/step51_transfer_comparison_proxy/state_guard.py,False,True,True,src/runtime_geometry_wall_velocity_transfer_state_guard.py,4,True
experiments/steps/step52_48_feasibility_proxy/config.py,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_config.py,4,True
experiments/steps/step52_48_feasibility_proxy/diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_diagnostics.py,4,True
experiments/steps/step52_48_feasibility_proxy/envelope.py,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_envelope.py,4,True
experiments/steps/step52_48_feasibility_proxy/state_guard.py,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_state_guard.py,4,True
experiments/steps/step53_support_scaling_audit/config.py,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_config.py,4,True
experiments/steps/step53_support_scaling_audit/audit.py,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_audit.py,4,True
experiments/steps/step53_support_scaling_audit/diagnostics.py,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_diagnostics.py,4,True
experiments/steps/step53_support_scaling_audit/claim_guard.py,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_claim_guard.py,4,True
experiments/steps/step53_support_scaling_audit/artifact_guard.py,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_artifact_guard.py,4,True
