metric,value
combined_runtime_geometry_wall_velocity_allowed,False
driver_run_required,False
fsidriver_run_allowed,False
geometry_motion_application_mode_allowed_for_step80,diagnostic_only
geometry_motion_interface_report_required_for_step80,True
geometry_motion_mode_allowed_for_step80,prescribed_kinematic
geometry_motion_report_required_for_step80,True
geometry_mutation_allowed,False
grid_48_allowed,False
grid_64_allowed,False
link_area_allowed,False
particle_npy_output_allowed,False
pass_count,40
physical_validation_claim_allowed,False
planned_step80_activation_feature_count,1
previous_commit,d226b1fc679f7d5592629a359c56f0b83372a393
previous_step,Step78
production_readiness_claim_allowed,False
real_geometry_allowed,False
real_squid_validation_claim_allowed,False
row_count,40
runtime_code_changed,False
runtime_geometry_activation_planned,True
runtime_geometry_application_mode_planned_for_step80,diagnostic_only
simulation_run_allowed,False
solver_behavior_changed,False
solver_formula_change_allowed,False
squid_proxy_allowed,False
step79_activation_feature_count,0
step79_runtime_geometry_diagnostic_only_activation_plan_pass,True
step80_allowed,True
step80_allowed_coupling_mode,moving_boundary
step80_allowed_geometry_type,box
step80_allowed_mpm_substeps_per_lbm_step,1
step80_allowed_n_grid,32
step80_allowed_n_lbm_steps,3
step80_allowed_n_particles,1024
step80_allowed_reaction_transfer_mode,engineering
step80_allowed_row_count,1
step80_allowed_row_name,canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke
tau_migration_allowed,False
vtr_output_allowed,False
wall_velocity_allowed,False
