case,mode_class,reaction_transfer_mode,notes,hydro_force_max_norm_integral_proxy,bb_correction_integral_proxy,bb_link_count_integral_proxy,max_hydro_force_max_norm,max_bb_correction,max_grid_reaction_norm,impulse_proxy_finite_pass
experimental_48_moving_boundary,experimental,engineering,existing-diagnostics force and bounce-back proxy only; no real impulse validation claim,16.705359667539597,0.0551506748306565,265024.0,0.4208977222442627,0.0024120965972542763,1.0544597898842767e-05,True
static_48_moving_boundary,static,engineering,existing-diagnostics force and bounce-back proxy only; no real impulse validation claim,16.662422209978104,0.044296160369412974,265024.0,0.418045312166214,0.001404486712999642,1.0544598808337469e-05,True
experimental_48_link_area,experimental,link_area_experimental,existing-diagnostics force and bounce-back proxy only; no real impulse validation claim,16.70522505044937,0.05505718063795939,265024.0,0.4208909571170807,0.0024065030738711357,1.0544550605118275e-05,True
static_48_link_area,static,link_area_experimental,existing-diagnostics force and bounce-back proxy only; no real impulse validation claim,16.661619752645493,0.04398606321774423,265014.0,0.41786080598831177,0.0014024032279849052,1.0544565157033503e-05,True
