case,reaction_transfer_mode,timeseries_row_count,cycle_count,phase_sequence_repeats,applied_cell_count_min,applied_cell_count_max,max_applied_velocity_norm,wall_velocity_cap_lbm,cap_pass,finite_pass,lbm_population_update_count_max,modify_bounceback_formula_any,cycle_pass_count,quality_pass
experimental_48_moving_boundary,engineering,80,2,True,2136,2136,0.007021783310068709,0.01,True,True,0,False,2,True
experimental_48_link_area,link_area_experimental,80,2,True,2136,2136,0.007021783310068709,0.01,True,True,0,False,2,True
