case,geometry_type,geometry_source,quality_kind,mode,reaction_transfer_mode,quality_check_enabled,quality_check_strict,quality_pass,quality_severity,quality_warnings_count,quality_reasons_count,quality_report_path,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,completed_lbm_steps,total_mpm_substeps,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,active_reaction_particle_count,area_scale_final,stable,notes
voxel_sphere,voxel,configs/step20_voxel_sphere_geometry.json,voxel,penalty,engineering,True,False,True,ok,0,0,outputs/step23_quality_gated_imported_geometry_64_feasibility/voxel_sphere_64_penalty_engineering/geometry_quality_report.json,64,4096,5,5,5,25,0.9999995827674866,1.000001311302185,2.6180130134889623e-06,0.9999993443489075,0.01953125,0.09944117069244385,31116,2.4911798846005695e-06,2.4911798846005695e-06,0,0,1.0,True,Step 23 quality-gated synthetic imported geometry validation; no new FSI physics
voxel_sphere,voxel,configs/step20_voxel_sphere_geometry.json,voxel,moving_boundary,engineering,True,False,True,ok,0,0,outputs/step23_quality_gated_imported_geometry_64_feasibility/voxel_sphere_64_moving_boundary_engineering/geometry_quality_report.json,64,4096,5,5,5,25,0.9943732619285583,1.005661129951477,0.005045207217335701,0.9998955726623535,0.020823301747441292,0.09944101423025131,31116,0.0,0.41816315054893494,102036,4096,1.0,True,Step 23 quality-gated synthetic imported geometry validation; no new FSI physics
mesh_cube,mesh,configs/step20_mesh_cube_geometry.json,mesh,penalty,engineering,True,False,True,ok,0,0,outputs/step23_quality_gated_imported_geometry_64_feasibility/mesh_cube_64_penalty_engineering/geometry_quality_report.json,64,4096,5,5,5,25,0.9999997615814209,1.000001072883606,2.490188535375637e-06,0.9999832510948181,0.01953125,0.7478514313697815,88946,2.4886483060981845e-06,2.4886483060981845e-06,0,0,1.0,True,Step 23 quality-gated synthetic imported geometry validation; no new FSI physics
