candidate_id,geometry_type,reaction_transfer_mode,n_grid,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,active_cell_count_delta,bb_link_count_delta,step27_source,step28_source,prefix_pass
real_candidate_smoke_mesh,mesh,engineering,64,0.0,0.0,0.0,1.1920928955078125e-07,4.76837158203125e-07,0,0,outputs/step27_64_driver_mesh_feasibility/mesh_64_short_driver_results.csv,outputs/step28_64_transfer_pair_driver/real_candidate_smoke_mesh_64_moving_boundary/diagnostics_timeseries.csv,True
real_candidate_smoke_mesh,mesh,link_area_experimental,64,0.0,0.0,0.0,-5.960464477539063e-08,-3.5762786865234375e-07,0,0,outputs/step27_64_driver_mesh_feasibility/mesh_64_short_driver_results.csv,outputs/step28_64_transfer_pair_driver/real_candidate_smoke_mesh_64_link_area/diagnostics_timeseries.csv,True
real_candidate_smoke_voxel,voxel,engineering,64,-5.960464477539063e-08,1.1920928955078125e-07,-7.916241884231567e-08,5.960464477539063e-08,1.4901161193847656e-08,0,0,outputs/step27_64_driver_voxel_feasibility/voxel_64_short_driver_results.csv,outputs/step28_64_transfer_pair_driver/real_candidate_smoke_voxel_64_moving_boundary/diagnostics_timeseries.csv,True
real_candidate_smoke_voxel,voxel,link_area_experimental,64,-5.960464477539063e-08,1.1920928955078125e-07,-6.28642737865448e-08,1.7881393432617188e-07,4.470348358154297e-08,0,0,outputs/step27_64_driver_voxel_feasibility/voxel_64_short_driver_results.csv,outputs/step28_64_transfer_pair_driver/real_candidate_smoke_voxel_64_link_area/diagnostics_timeseries.csv,True
