metric,value
artifact_check_count,8
artifact_pass_count,8
pass_count,8
row_count,8
step100_step98_regression_guard_pass,True
step98_48cube_taichi_ggui_visualization_quality_pass,True
step98_48cube_taichi_ggui_visualization_smoke_matrix_pass,True
step98_activation_feature_count,5
step98_activation_guard_pass,True
step98_artifact_budget_pass,True
step98_completed_lbm_steps,1
step98_ggui_screenshot_count,1
step98_ggui_video_count,0
step98_grid_48_enabled_count,1
step98_grid_64_enabled_count,0
step98_n_grid,48
step98_output_guard_pass,True
step98_particle_npy_count,0
step98_runtime_geometry_enabled_count,1
step98_squid_proxy_enabled_count,1
step98_step94_regression_guard_pass,True
step98_step96_regression_guard_pass,True
step98_step97_regression_guard_pass,True
step98_vtr_count,0
step98_wall_velocity_enabled_count,1
