mode,geometry_type,stable,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,total_mpm_substeps,target_u_lbm_x,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,projection_zone_ux_final,solid_mean_vx_final,active_cell_count,projected_mass,cell_force_max_norm,hydro_force_max_norm,bb_link_count,active_reaction_particle_count,max_grid_reaction_norm,estimated_memory_mb,total_time_sec,steps_per_sec,notes
none,box,True,48,13824,10,10,100,0.01,1.0000003576278687,1.0000003576278687,0.0,0.9999996423721313,0.05208733305335045,0.0,0.052090007811784744,4913,0.02700003981590271,0.0,0.0,0,0,0.0,27.158203125,44.33290440001292,0.2255660921687117,48^3 box engineering scale baseline; not production benchmark
penalty,box,True,48,13824,10,10,100,0.01,0.9999914169311523,1.000009536743164,1.598680501047056e-05,0.9999955296516418,0.051635872572660446,1.2410220733727328e-05,0.051619987934827805,4913,0.02700003609061241,9.910961125569884e-06,9.910961125569884e-06,0,0,1.0235013725434783e-08,27.158203125,45.78459070000099,0.21841409625181565,48^3 box engineering scale baseline; not production benchmark
moving_boundary,box,True,48,13824,10,10,100,0.005,0.982743501663208,1.039551854133606,0.021100755780935287,0.9927889108657837,0.14158585667610168,0.00022285270097199827,0.04423300921916962,4913,0.02699999324977398,0.0,0.43404027819633484,5960,8670,1.0346120689064264e-05,27.158203125,70.84768750000512,0.1411478673880397,48^3 box engineering scale baseline; not production benchmark
