step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9948599338531494,1.055232286453247,1.0101474109366912,102598.65223401785,1030.652234017849,0.010147410936691172,0.019879631172612114,0.002922169971955405,0.0,43.58145830855584,6.151610507286735,37.429847801269105,0.8588479884327538,0.02714633025206297,0.04701882323561712
50,0.9917579293251038,1.0527775287628174,1.0188793939290064,103485.54228258133,1917.5422825813293,0.018879393929006474,0.019958848682969866,0.004653010053292977,0.02173816626064043,43.78227480669423,9.76471228033741,34.017562526356826,0.7769711070644415,0.02759086040944836,0.0477887720537052
75,0.9903550148010254,1.0427073240280151,1.027000403121494,104310.37694424391,2742.376944243908,0.027000403121494054,0.019955047452910355,0.005984960331749664,0.023189945778473227,43.789329457024266,12.542964306540345,31.24636515048392,0.713561169762824,0.030555956607329442,0.05292446931776454
100,0.9765729904174805,1.0353074073791504,1.0207868909484412,103679.28293985128,2111.282939851284,0.020786890948441283,0.019928698050340598,0.040384702750663,0.024557598836153098,43.47374020057738,85.17429085208593,41.70055065150855,0.48959081706856733,0.049585481345721355,0.08588457300854818
125,0.9836719036102295,1.0273511409759521,1.0116579745882663,102752.07716298103,1184.0771629810333,0.011657974588266317,0.019947027997950017,0.03644217685765511,0.033986076931354706,43.19174111152047,77.39842568427399,34.20668457275352,0.4419558184851261,0.04932577154442007,0.08543474243747073
150,0.9808219075202942,1.023674488067627,1.0036592074607105,101939.65838336945,371.6583833694458,0.0036592074607105173,0.019951744874787916,0.03481792917806085,0.03607986614307026,43.044162289887666,74.19959235631904,31.15543006643138,0.41988680903821834,0.04543948942381378,0.07870350435203413
175,0.9596254825592041,1.0086742639541626,0.9957200323290789,101133.29224359989,-434.70775640010834,-0.004279967670921042,0.01967714193923177,0.031700841175715325,0.03165652516199186,39.99504272601865,67.65581629820481,27.66077357218616,0.4088454634892952,0.040130404254922765,0.06950789909780448
200,0.9599226117134094,1.0085058212280273,0.9905633226984193,100609.53555983305,-958.4644401669502,-0.009436677301580716,0.020076403280787015,0.027274530177093047,0.02867711427966938,41.37109323271591,58.20238007592607,16.831286843210165,0.2891855422622484,0.03355163349839965,0.05811313389615812
225,0.9676052331924438,1.007338285446167,0.9869500349657804,100242.54115140438,-1325.4588485956192,-0.013049965034219629,0.019963256914400988,0.025751498152329074,0.01162113428096319,41.447637390200185,54.88822525253548,13.440587862335292,0.2448719702722475,0.029996426115754024,0.05195533407797192
250,0.9704736471176147,1.004920244216919,0.9859927778150452,100145.31445711851,-1422.6855428814888,-0.014007222184954796,0.01995303517908196,0.006918431592845298,0.014157593805499254,41.59589873615973,14.709585912146114,26.88631282401362,0.6463693210369579,0.026323731316991977,0.0455940400858221
