case,n_grid,reaction_transfer_mode,rho_min_global,rho_max_global,lbm_max_v_global,mpm_min_J_global,mpm_max_speed_global,hydro_force_max_norm,bb_link_count_max,bb_max_correction_global,active_reaction_particle_count_max,applied_cell_count,max_applied_velocity_norm,wall_velocity_cap_lbm,lbm_population_update_count,stability_pass
experimental_32_moving_boundary,32,engineering,0.9868627786636353,1.0080370903015137,0.00940057635307312,0.9942772388458252,0.10942521691322327,0.42086970806121826,2508,0.003304814686998725,3670,648,0.005866361313097195,0.01,0,True
experimental_48_moving_boundary,48,engineering,0.9811670184135437,1.0088709592819214,0.00985103752464056,0.994580090045929,0.08123750984668732,0.42062535881996155,6638,0.0033060458954423666,3257,2136,0.005849450792213756,0.01,0,True
experimental_48_link_area,48,link_area_experimental,0.9811670780181885,1.0088746547698975,0.00984907802194357,0.9945948719978333,0.08109777420759201,0.4206315279006958,6638,0.0033060614950954914,3257,2136,0.005849450792213756,0.01,0,True
