check,pass,value_first,value_second,notes
row_count,True,81,81,row counts must match
schedule_hash,True,6d74cd32a50a74292e438efa7f9261096315f6af80588b18accd41467e634b2c,6d74cd32a50a74292e438efa7f9261096315f6af80588b18accd41467e634b2c,full schedule hash must repeat
mantle_hash,True,4fd2b856af1db9808ca30f61d7df09bcaceee6f1b696f6e905038cad74da3157,4fd2b856af1db9808ca30f61d7df09bcaceee6f1b696f6e905038cad74da3157,mantle schedule hash must repeat
cavity_hash,True,92e4517a59607949568cfeef9f83336ebf55a823b94d8f9b3dd555d6e58b2daf,92e4517a59607949568cfeef9f83336ebf55a823b94d8f9b3dd555d6e58b2daf,cavity schedule hash must repeat
funnel_hash,True,dd4c2ed62a74d8ebfffa5f544c6ed6d4ba6cfdb2237f4f7faf11074c78c58569,dd4c2ed62a74d8ebfffa5f544c6ed6d4ba6cfdb2237f4f7faf11074c78c58569,funnel schedule hash must repeat
repeatability_pass,True,True,True,all repeatability checks must pass
