step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,760,0,0,True
1,lightweight_reduction,0.9999998807907104,1.0101999044418335,0.01009702030569315,0.0277777761220932,0.3333333134651184,0.0277777761220932,0.3333333134651184,0,0.0,760,0,0,True
2,lightweight_reduction,0.9999998807907104,1.026679515838623,0.011207851581275463,0.0277777761220932,0.339612752199173,0.0277777761220932,0.339612752199173,0,0.0,760,0,0,True
3,lightweight_reduction,0.9999998807907104,1.037444829940796,0.014620945788919926,0.02731209248304367,0.3443957567214966,0.02731209248304367,0.3443957567214966,0,0.0,760,0,0,True
