api_group,canonical_import_pass,canonical_module,error,object_type,output_snapshot_unchanged,pass,runtime_object_construction_required,solver_run,symbol
driver_api,True,src.mpm_lbm.sim.drivers.fsi_driver,,list,True,True,False,False,DIAGNOSTIC_FIELDS
driver_api,True,src.mpm_lbm.sim.drivers.fsi_driver,,type,True,True,False,False,FSIDriver3D
driver_api,True,src.mpm_lbm.sim.drivers.fsi_config,,type,True,True,False,False,FSIDriverConfig
driver_api,True,src.mpm_lbm.sim.drivers.sim_config,,type,True,True,False,False,UnifiedSimConfig
lbm_mpm_api,True,src.mpm_lbm.sim.lbm.config,,type,True,True,False,False,LBMConfig
lbm_mpm_api,True,src.mpm_lbm.sim.lbm.fluid,,type,True,True,False,False,LBMFluid3D
lbm_mpm_api,True,src.mpm_lbm.sim.lbm.relaxation_semantics,,function,True,True,False,False,tau_from_legacy_external_solver_parameter
lbm_mpm_api,True,src.mpm_lbm.sim.lbm.relaxation_semantics,,function,True,True,False,False,tau_from_lattice_kinematic_viscosity
lbm_mpm_api,True,src.mpm_lbm.sim.lbm.relaxation_semantics,,function,True,True,False,False,relaxation_semantics_summary
lbm_mpm_api,True,src.mpm_lbm.sim.mpm.config,,type,True,True,False,False,MPMConfig
lbm_mpm_api,True,src.mpm_lbm.sim.mpm.solid,,type,True,True,False,False,MPMSolid3D
coupling_api,True,src.mpm_lbm.sim.coupling.projection,,type,True,True,False,False,MPMToLBMProjector3D
coupling_api,True,src.mpm_lbm.sim.coupling.penalty,,type,True,True,False,False,PenaltyFSICoupler3D
coupling_api,True,src.mpm_lbm.sim.coupling.moving_boundary,,type,True,True,False,False,MovingBoundaryFSICoupler3D
coupling_api,True,src.mpm_lbm.sim.coupling.link_area,,type,True,True,False,False,LinkAreaMovingBoundaryCoupler3D
coupling_api,True,src.mpm_lbm.sim.coupling.momentum_accounting,,type,True,True,False,False,MomentumAccounting3D
coupling_api,True,src.mpm_lbm.sim.coupling.link_area_accounting,,tuple,True,True,False,False,VALID_AREA_POLICIES
coupling_api,True,src.mpm_lbm.sim.coupling.link_area_accounting,,type,True,True,False,False,LinkAreaMomentumAccounting3D
geometry_api,True,src.mpm_lbm.sim.geometry.config,,type,True,True,False,False,GeometryConfig
geometry_api,True,src.mpm_lbm.sim.geometry.sampler,,type,True,True,False,False,GeometrySampler3D
geometry_api,True,src.mpm_lbm.sim.geometry.importers,,type,True,True,False,False,ImportedGeometrySampler3D
geometry_api,True,src.mpm_lbm.sim.geometry.quality,,type,True,True,False,False,GeometryQualityGate
geometry_api,True,src.mpm_lbm.sim.geometry.quality,,function,True,True,False,False,analyze_geometry_config
geometry_api,True,src.mpm_lbm.sim.geometry.mesh_io,,function,True,True,False,False,load_obj
geometry_api,True,src.mpm_lbm.sim.geometry.mesh_io,,function,True,True,False,False,write_obj
geometry_api,True,src.mpm_lbm.sim.geometry.mesh_io,,function,True,True,False,False,mesh_bounds
geometry_api,True,src.mpm_lbm.sim.geometry.mesh_io,,function,True,True,False,False,normalize_vertices
geometry_api,True,src.mpm_lbm.sim.geometry.voxel_io,,type,True,True,False,False,VoxelGeometry
geometry_api,True,src.mpm_lbm.sim.geometry.voxel_io,,function,True,True,False,False,load_voxel_geometry
geometry_api,True,src.mpm_lbm.sim.geometry.voxel_io,,function,True,True,False,False,save_voxel_geometry
geometry_api,True,src.mpm_lbm.sim.geometry.voxel_io,,function,True,True,False,False,voxel_centers_to_points
geometry_api,True,src.mpm_lbm.sim.geometry.intake,,function,True,True,False,False,run_candidate_intake
