extension,forbidden,pass,path,size_bytes
.json,False,True,configs/step112_artifact_manifest_policy.json,258
.json,False,True,configs/step112_candidates/cap_1e-2_E_2e4.json,1532
.json,False,True,configs/step112_candidates/cap_1e-2_E_2e4_lock_z.json,1581
.json,False,True,configs/step112_candidates/cap_1e-2_E_2e4_lock_z_damp_20.json,1676
.json,False,True,configs/step112_candidates/cap_1e-2_E_5e4.json,1532
.json,False,True,configs/step112_candidates/cap_5e-3_E_2e4.json,1533
.json,False,True,configs/step112_candidates/cap_5e-3_E_2e4_lock_z.json,1582
.json,False,True,configs/step112_candidates/cap_7e-3_E_2e4.json,1533
.json,False,True,configs/step112_candidates/cap_7e-3_E_2e4_lock_z.json,1582
.json,False,True,configs/step112_candidates/cap_7e-3_E_2e4_lock_z_damp_20.json,1677
.json,False,True,configs/step112_candidates/step111_cap_2e-2_E_2e4_real_replay.json,1608
.json,False,True,configs/step112_output_guard_policy.json,491
.json,False,True,configs/step112_real_dynamics_matrix_policy.json,1670
.log,False,True,logs/step112_artifact_manifest.log,65
.log,False,True,logs/step112_output_guard.log,51
.log,False,True,logs/step112_real_candidate_matrix.log,188
.log,False,True,logs/step112_real_dynamics_diagnostics.log,49
.json,False,True,outputs/step112_real_candidate_matrix/candidate_matrix_progress.json,13200
.csv,False,True,outputs/step112_real_candidate_matrix/candidate_matrix_report.csv,3379
.json,False,True,outputs/step112_real_candidate_matrix/candidate_matrix_report.json,15061
.md,False,True,outputs/step112_real_candidate_matrix/candidate_matrix_report.md,4305
.csv,False,True,outputs/step112_real_candidate_matrix/candidate_matrix_summary.csv,769
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_1e-2_E_2e4_lock_z_damp_20_nearest_public_monitor_point.csv,4323
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_1e-2_E_2e4_lock_z_nearest_public_monitor_point.csv,4308
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_1e-2_E_2e4_nearest_public_monitor_point.csv,5235
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_1e-2_E_5e4_nearest_public_monitor_point.csv,5237
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_5e-3_E_2e4_lock_z_nearest_public_monitor_point.csv,4302
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_5e-3_E_2e4_nearest_public_monitor_point.csv,5241
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_7e-3_E_2e4_lock_z_damp_20_nearest_public_monitor_point.csv,4326
.csv,False,True,outputs/step112_real_candidate_matrix/curves/cap_7e-3_E_2e4_lock_z_nearest_public_monitor_point.csv,4319
