step,lbm_open_boundary_semantics,row_role,step135_interior_reflection_candidate,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,open_boundary_inlet_ramp_steps,open_boundary_inlet_ramp_profile,open_boundary_inlet_ramp_factor,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,x_profile_flux_samples,x_profile_ux_mean_samples,x_profile_rho_mean_samples,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
110,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.64848994699049,30.844943200833438,30.844943200833438,12.80354674615705,18.400203704833984,0.25,0.005,23.48406410217285,1231.7608642578125,43.62489318847656,30.004552841186523,13.620340347290039,18.400203704833984,0.002210961189121008,0.002210961189121008,8.695748874743003e-06,8.695748874743003e-06,0.0005,0.5,0.4421922378242016,0,0,0.0,2,1,5,0.045454545454545456,43.62489318847656,30.01547622680664,0.00539178354665637,0.01533549465239048,0.014674586141156297,0.0,0.9933503733521823,3.551651141806528e-06,33.92657719078175,30.846855629247365,30.847454222568086,30.83396293410174,1.0000620013595576,"{""0"":43.64848994699049,""12"":41.153159975385485,""18"":37.489096134135764,""24"":33.92657719078175,""30"":30.64875157025621,""36"":30.23781528955166,""42"":30.75464408202854,""45"":30.847454222568086,""46"":30.846855629247365,""47"":30.844943200833438,""6"":44.63255462869569}","{""0"":0.019923389956200167,""12"":0.018880938160425097,""18"":0.017280849818288153,""24"":0.015713816397076925,""30"":0.014266483888861025,""36"":0.014178834186773572,""42"":0.014538138639842053,""45"":0.01463876950285188,""46"":0.014657016211085458,""47"":0.014674586141156297,""6"":0.020388335416037132}","{""0"":1.0353622653984618,""12"":1.0300661898402952,""18"":1.0252363864325396,""24"":1.0203329570915387,""30"":1.0152671283044077,""36"":1.0078579349080647,""42"":0.9997411315067053,""45"":0.9958620237887243,""46"":0.9946027276703,""47"":0.9933503733521823,""6"":1.0345667455845384}",0:43.648489947;6:44.6325546287;12:41.1531599754;18:37.4890961341;24:33.9265771908;30:30.6487515703;36:30.2378152896;42:30.754644082;45:30.8474542226;46:30.8468556292;47:30.8449432008,0.018857177767712476,False,False
115,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.73008334482179,34.80105544666637,34.80105544666637,8.929027898155425,17.704153060913086,0.25,0.005,22.419588088989258,1346.7047119140625,43.73720932006836,34.172767639160156,9.564441680908203,17.704153060913086,0.0021105839405208826,0.0021105839405208826,8.366801921511069e-06,8.366801921511069e-06,0.0005,0.5,0.4221167881041765,0,0,0.0,2,0,5,0.043478260869565216,43.73720932006836,34.02668380737305,0.005690415855497122,0.017341921105980873,0.016553773282409166,0.0,0.9935272840504835,2.8366765343702213e-06,36.70556326647011,34.90659161192776,34.98459790141143,35.02567547029855,1.0030325564528675,"{""0"":43.73008334482179,""12"":43.77892402021472,""18"":40.23274993848098,""24"":36.70556326647011,""30"":34.20285125899987,""36"":34.93096637733703,""42"":35.053598289031676,""45"":34.98459790141143,""46"":34.90659161192776,""47"":34.80105544666637,""6"":45.16935898341281}","{""0"":0.019968117348715973,""12"":0.020058280553550783,""18"":0.018519910838277146,""24"":0.016978211340887055,""30"":0.01591020220994513,""36"":0.01638499351081021,""42"":0.016571348589151352,""45"":0.01660135643387703,""46"":0.016584338699749165,""47"":0.016553773282409166,""6"":0.02063684197431448}","{""0"":1.0349739382082213,""12"":1.031471505056933,""18"":1.0266562416896028,""24"":1.0217005714126255,""30"":1.0159556258378273,""36"":1.0075087339981743,""42"":0.9996748098747942,""45"":0.9959039028684674,""46"":0.9947031199481402,""47"":0.9935272840504835,""6"":1.0344114235984354}",0:43.7300833448;6:45.1693589834;12:43.7789240202;18:40.2327499385;24:36.7055632665;30:34.202851259;36:34.9309663773;42:35.053598289;45:34.9845979014;46:34.9065916119;47:34.8010554467,0.0193902345206389,False,False
120,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.666228158439424,38.62178863216186,38.62178863216186,5.044439526277564,16.68567657470703,0.25,0.005,21.209274291992188,1455.1910400390625,43.6742057800293,38.128326416015625,5.545879364013672,16.68567657470703,0.001996861770749092,0.001996861770749092,7.885480954428203e-06,7.885480954428203e-06,0.0005,0.5,0.3993723541498184,0,0,0.0,2,0,5,0.041666666666666664,43.6742057800293,37.8646240234375,0.005923382006585598,0.019292635843157768,0.018365482069527296,0.0,0.9938353632483455,2.2582549886338807e-06,39.61594606848876,38.7657062753515,38.89986798407609,39.0260555077579,1.0037263329402044,"{""0"":43.666228158439424,""12"":46.20238323584668,""18"":42.977301185921746,""24"":39.61594606848876,""30"":38.782826060712935,""36"":39.26284398407811,""42"":39.2139772608183,""45"":38.89986798407609,""46"":38.7657062753515,""47"":38.62178863216186,""6"":45.04483292046213}","{""0"":0.019950103482129385,""12"":0.021143671429966048,""18"":0.019756496732082705,""24"":0.01830166700121811,""30"":0.018044193427779118,""36"":0.01841742352169669,""42"":0.01853696932811079,""45"":0.018454677474399807,""46"":0.018412552599659602,""47"":0.018365482069527296,""6"":0.02059470712174688}","{""0"":1.03439532251349,""12"":1.0326928400024349,""18"":1.0280486315432478,""24"":1.022972641797958,""30"":1.0157627695449585,""36"":1.007483026312069,""42"":0.9997369134076827,""45"":0.9961514710422275,""46"":0.9949875787773745,""47"":0.9938353632483455,""6"":1.0336598534214474}",0:43.6662281584;6:45.0448329205;12:46.2023832358;18:42.9773011859;24:39.6159460685;30:38.7828260607;36:39.2628439841;42:39.2139772608;45:38.8998679841;46:38.7657062754;47:38.6217886322,0.019730910919982265,False,False
125,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.65167284996053,42.35197395085308,42.35197395085308,1.2996988991074545,15.38987922668457,0.25,0.005,19.65312385559082,1555.9283447265625,43.65525817871094,41.95415496826172,1.7011032104492188,15.38987922668457,0.0018500866135582328,0.0018500866135582328,7.273100436577806e-06,7.273100436577806e-06,0.0005,0.5,0.37001732271164656,0,0,0.0,2,0,5,0.04,43.65525817871094,41.613731384277344,0.0061018383130431175,0.021208476275205612,0.020131175204916085,0.0,0.9942349934341326,3.5047800551537573e-06,43.05210609162426,42.53616936971448,42.708508268248416,42.86995269080349,1.0043491578237922,"{""0"":43.65167284996053,""12"":47.000483737022705,""18"":45.68921211851377,""24"":43.05210609162426,""30"":43.55314890196255,""36"":43.59129019649589,""42"":43.16294360115188,""45"":42.708508268248416,""46"":42.53616936971448,""47"":42.35197395085308,""6"":45.28592425625101}","{""0"":0.019954970994671993,""12"":0.021511474091714576,""18"":0.02097607186699677,""24"":0.019873055133181633,""30"":0.020270672037234504,""36"":0.020448308149114997,""42"":0.020398500558105076,""45"":0.020254465417288568,""46"":0.020195836215614497,""47"":0.020131175204916085,""6"":0.02071483585400778}","{""0"":1.0337979696648782,""12"":1.032583851106676,""18"":1.0293769165450999,""24"":1.023806563397211,""30"":1.0153991250437464,""36"":1.0074566075955087,""42"":0.9999915552105479,""45"":0.9965009406237161,""46"":0.9953614930518409,""47"":0.9942349934341326,""6"":1.0331684755467738}",0:43.65167285;6:45.2859242563;12:47.000483737;18:45.6892121185;24:43.0521060916;30:43.553148902;36:43.5912901965;42:43.1629436012;45:42.7085082682;46:42.5361693697;47:42.3519739509,0.019884695403428108,False,False
130,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.62007739592512,45.98872624604713,45.98872624604713,-2.368648850122007,13.854283332824707,0.25,0.005,17.780202865600586,1648.9166259765625,43.62709045410156,45.688209533691406,-2.0611190795898438,13.854283332824707,0.0016741782892495394,0.0016741782892495394,6.547393240907695e-06,6.547393240907695e-06,0.0005,0.5,0.3348356578499079,0,0,0.0,2,0,5,0.038461538461538464,45.688209533691406,45.268516540527344,0.006276372354477644,0.023086540400981903,0.021848975754050724,0.0,0.9947289416605223,2.9603258376304126e-06,47.43646833755534,46.21142549923461,46.42366213438247,46.62495628912248,1.0048424749143083,"{""0"":43.62007739592512,""12"":46.909497059706965,""18"":48.24715912778593,""24"":47.43646833755534,""30"":47.92402630727247,""36"":47.792044158576985,""42"":46.993389951607796,""45"":46.42366213438247,""46"":46.21142549923461,""47"":45.98872624604713,""6"":45.34875539005969}","{""0"":0.019953349001339455,""12"":0.021487939630772404,""18"":0.022127807683915268,""24"":0.02189748883375014,""30"":0.02230509061877755,""36"":0.02241681268089231,""42"":0.022200660718453516,""45"":0.022006612126926745,""46"":0.021930496960557953,""47"":0.021848975754050724,""6"":0.020757271815795585}","{""0"":1.0331333175386057,""12"":1.0316997441993094,""18"":1.0304353157153427,""24"":1.023786467843335,""30"":1.0153921683141098,""36"":1.0075465532016212,""42"":1.0003563107637468,""45"":0.9969428673471079,""46"":0.9958297176768964,""47"":0.9947289416605223,""6"":1.0324856540881844}",0:43.6200773959;6:45.3487553901;12:46.9094970597;18:48.2471591278;24:47.4364683376;30:47.9240263073;36:47.7920441586;42:46.9933899516;45:46.4236621344;46:46.2114254992;47:45.988726246,0.01985636285770856,False,False
135,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.58947594626682,49.54367470162958,49.54367470162958,-5.954198755362754,12.109821319580078,0.25,0.005,15.641756057739258,1730.2813720703125,43.595333099365234,49.329833984375,-5.734500885009766,12.109821319580078,0.001472867326810956,0.001472867326810956,5.722978130506817e-06,5.722978130506817e-06,0.0005,0.5,0.2945734653621912,0,0,0.0,2,0,5,0.037037037037037035,49.329833984375,48.838687896728516,0.006408027373254299,0.024925366044044495,0.023524236829030647,0.0,0.9953072392478557,3.0031437155077437e-06,52.14965751844717,49.800250726710445,50.04787100062859,50.286146030931434,1.005178784711188,"{""0"":43.58947594626682,""12"":47.2604979326033,""18"":49.7261629537019,""24"":52.14965751844717,""30"":52.25703003495754,""36"":51.806826568384444,""42"":50.731601314487904,""45"":50.04787100062859,""46"":49.800250726710445,""47"":49.54367470162958,""6"":45.443794152341646}","{""0"":0.019953063201504303,""12"":0.021660223970760104,""18"":0.02281758426829454,""24"":0.02408289302726732,""30"":0.024321456240632682,""36"":0.02429378907493754,""42"":0.02395577855000628,""45"":0.023711958009923945,""46"":0.02362044763708195,""47"":0.023524236829030647,""6"":0.02081464819175707}","{""0"":1.032423013043088,""12"":1.0311568334332486,""18"":1.0299411422250853,""24"":1.0233642835247494,""30"":1.0154058817767015,""36"":1.0078021320593604,""42"":1.0008110872175833,""45"":0.9974753859757476,""46"":0.9963859380812636,""47"":0.9953072392478557,""6"":1.0317969096292845}",0:43.5894759463;6:45.4437941523;12:47.2604979326;18:49.7261629537;24:52.1496575184;30:52.257030035;36:51.8068265684;42:50.7316013145;45:50.0478710006;46:49.8002507267;47:49.5436747016,0.019649894772509433,False,False
140,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.557120761551275,53.02866313308755,53.02866313308755,-9.471542371536273,10.18497085571289,0.25,0.005,13.27061939239502,1801.3140869140625,43.56395721435547,52.890235900878906,-9.326278686523438,10.18497085571289,0.001249592169187963,0.001249592169187963,4.813313807972008e-06,4.813313807972008e-06,0.0005,0.5,0.2499184338375926,0,0,0.0,2,0,5,0.03571428571428571,52.890235900878906,52.33659362792969,0.006521395407617092,0.026731878519058228,0.02516249360407514,0.0,0.9959590613334977,2.9719599481502023e-06,56.209196269148606,53.3149272858324,53.59364851478658,53.864217499459926,1.0053982909587293,"{""0"":43.557120761551275,""12"":47.476065745898275,""18"":51.05099384746499,""24"":56.209196269148606,""30"":56.468727400492554,""36"":55.67203933430638,""42"":54.37871766359106,""45"":53.59364851478658,""46"":53.3149272858324,""47"":53.02866313308755,""6"":45.51199020796015}","{""0"":0.019952787485128597,""12"":0.021775763374682875,""18"":0.023474046374655316,""24"":0.025965291110399077,""30"":0.02627943364581153,""36"":0.02609616311575992,""42"":0.025664013657509394,""45"":0.025376315091539436,""46"":0.025271421021540667,""47"":0.02516249360407514,""6"":0.020860914230947023}","{""0"":1.0316706542594671,""12"":1.030364395821703,""18"":1.0278068817518158,""24"":1.0230596666638025,""30"":1.0154902489965039,""36"":1.0081949022181318,""42"":1.0013552995395119,""45"":0.9980879613886708,""46"":0.9970188483116983,""47"":0.9959590613334977,""6"":1.0310532674334225}",0:43.5571207616;6:45.511990208;12:47.4760657459;18:51.0509938475;24:56.2091962691;30:56.4687274005;36:55.6720393343;42:54.3787176636;45:53.5936485148;46:53.3149272858;47:53.0286631331,0.019268995345756178,False,False
145,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.5230351212939,56.454689967356856,56.454689967356856,-12.931654846062955,8.103899002075195,0.25,0.005,10.69809627532959,1859.4317626953125,43.529876708984375,56.3817138671875,-12.851837158203125,8.103899002075195,0.0010073059238493443,0.0010073059238493443,3.82982034352608e-06,3.82982034352608e-06,0.0005,0.5,0.20146118476986885,0,0,0.0,2,0,5,0.034482758620689655,56.3817138671875,55.7736930847168,0.006622638553380966,0.028499329462647438,0.02676892351484127,0.0,0.9966750604950864,2.66065003642757e-06,58.75530406852649,56.76696742327647,57.07265209253796,57.37137265731678,1.0055314705669303,"{""0"":43.5230351212939,""12"":48.039914477589825,""18"":53.38468712927089,""24"":58.75530406852649,""30"":60.44554838657304,""36"":59.44683459008498,""42"":57.94624076683835,""45"":57.07265209253796,""46"":56.76696742327647,""47"":56.454689967356856,""6"":45.572061423667165}","{""0"":0.019952442594724645,""12"":0.02205748667503445,""18"":0.02460078670843971,""24"":0.027177342176719063,""30"":0.02812522104263503,""36"":0.027852592349408057,""42"":0.0273306788749014,""45"":0.02700513434844595,""46"":0.026888822344446905,""47"":0.02676892351484127,""6"":0.020904363294432224}","{""0"":1.0308808897303272,""12"":1.029290707271356,""18"":1.0255601997636892,""24"":1.0217251165828092,""30"":1.0156708740557074,""36"":1.0086653190885013,""42"":1.001979197694133,""45"":0.9987705371330275,""46"":0.9977186457421243,""47"":0.9966750604950864,""6"":1.030267916746536}",0:43.5230351213;6:45.5720614237;12:48.0399144776;18:53.3846871293;24:58.7553040685;30:60.4455483866;36:59.4468345901;42:57.9462407668;45:57.0726520925;46:56.7669674233;47:56.4546899674,0.01871665710584503,False,False
150,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.4877647842802,59.8306387138273,59.8306387138273,-16.342873929547096,5.8874831199646,0.25,0.005,7.949804306030273,1904.6343994140625,43.495033264160156,59.81464385986328,-16.319610595703125,5.8874831199646,0.0007485498208552599,0.0007485498208552599,2.7823643904412165e-06,2.7823643904412165e-06,0.0005,0.5,0.14970996417105198,0,0,0.0,2,0,5,0.03333333333333333,59.81464385986328,59.15913009643555,0.00670899311080575,0.030232597142457962,0.02834771741036368,0.0,0.9974473795953905,2.4399547174354057e-06,60.13393928207479,60.1656682537847,60.49512546668229,60.818580344010186,1.0055996316796794,"{""0"":43.4877647842802,""12"":49.357029202081264,""18"":55.221366729827984,""24"":60.13393928207479,""30"":63.94068751142639,""36"":63.10711831828472,""42"":61.445599234495006,""45"":60.49512546668229,""46"":60.1656682537847,""47"":59.8306387138273,""6"":45.67200219879944}","{""0"":0.019952189745046974,""12"":0.022702144029649724,""18"":0.025501420083658202,""24"":0.02787459510821314,""30"":0.029748610239115056,""36"":0.029551745294892566,""42"":0.028961134637443663,""45"":0.028603251653306173,""46"":0.02847703636248925,""47"":0.02834771741036368,""6"":0.020967715639455528}","{""0"":1.0300583132949352,""12"":1.0274906415344411,""18"":1.0233668065814756,""24"":1.0195282311205152,""30"":1.0157755461780245,""36"":1.0092050076545074,""42"":1.0026723729527516,""45"":0.9995142244549013,""46"":0.9984771158327903,""47"":0.9974473795953905,""6"":1.0294082742782982}",0:43.4877647843;6:45.6720021988;12:49.3570292021;18:55.2213667298;24:60.1339392821;30:63.9406875114;36:63.1071183183;42:61.4455992345;45:60.4951254667;46:60.1656682538;47:59.8306387138,0.017995466601406357,False,False
155,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,True,False,False,False,2,True,0.7,100,linear,1.0,43.45134580305035,63.16419095145689,63.16419095145689,-19.712845148406537,3.5537021160125732,0.25,0.005,5.048482894897461,1935.6304931640625,43.45869445800781,63.1980094909668,-19.739315032958984,3.5537021160125732,0.00047551532043144107,0.00047551532043144107,1.6794433577160817e-06,1.6794433577160817e-06,0.0005,0.5,0.09510306408628821,0,0,0.0,2,0,5,0.03225806451612903,63.1980094909668,62.500511169433594,0.006789008155465126,0.03195482864975929,0.029902514805515527,0.0,0.9982691151714956,2.435913986035151e-06,61.78709240623577,63.51911076759988,63.86904002817732,64.21343402114894,1.005619003596765,"{""0"":43.45134580305035,""12"":51.318613652752404,""18"":56.86516508112474,""24"":61.78709240623577,""30"":66.00271512142321,""36"":66.6143576551641,""42"":64.88239741630228,""45"":63.86904002817732,""46"":63.51911076759988,""47"":63.16419095145689,""6"":46.02385433884458}","{""0"":0.019952089436852245,""12"":0.023660202913927283,""18"":0.02631285227945212,""24"":0.028688469008209858,""30"":0.030735052677508732,""36"":0.031176716583518626,""42"":0.03055814436979289,""45"":0.03017444048862066,""46"":0.030039888024743864,""47"":0.029902514805515527,""6"":0.021152164335807147}","{""0"":1.0292006662865443,""12"":1.0250615153060294,""18"":1.021332390592319,""24"":1.0178395883798148,""30"":1.0148961542346753,""36"":1.0097691682651497,""42"":1.003422393183627,""45"":1.0003112249203125,""46"":0.9992869769017052,""47"":0.9982691151714956,""6"":1.0282971392507139}",0:43.4513458031;6:46.0238543388;12:51.3186136528;18:56.8651650811;24:61.7870924062;30:66.0027151214;36:66.6143576552;42:64.8823974163;45:63.8690400282;46:63.5191107676;47:63.1641909515,0.01710753896283649,False,False
