case,geometry_type,geometry_source,quality_kind,mode,reaction_transfer_mode,quality_check_enabled,quality_check_strict,quality_pass,quality_severity,quality_warnings_count,quality_reasons_count,quality_report_path,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,completed_lbm_steps,total_mpm_substeps,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,active_reaction_particle_count,area_scale_final,stable,notes
voxel_sphere,voxel,configs/step20_voxel_sphere_geometry.json,voxel,none,engineering,True,False,True,ok,0,0,outputs/step23_quality_gated_voxel_sphere_48_modes/voxel_sphere_48_none_engineering/geometry_quality_report.json,48,4096,10,10,10,100,1.0,1.0000003576278687,0.0,0.9999995827674866,0.026044795289635658,0.09944108873605728,14151,0.0,0.0,0,0,1.0,True,Step 23 quality-gated synthetic imported geometry validation; no new FSI physics
voxel_sphere,voxel,configs/step20_voxel_sphere_geometry.json,voxel,penalty,engineering,True,False,True,ok,0,0,outputs/step23_quality_gated_voxel_sphere_48_modes/voxel_sphere_48_penalty_engineering/geometry_quality_report.json,48,4096,10,10,10,100,0.9999967813491821,1.0000044107437134,8.081184205366299e-06,0.9999991655349731,0.02604166604578495,0.0994410589337349,14151,4.958784757036483e-06,4.958784757036483e-06,0,0,1.0,True,Step 23 quality-gated synthetic imported geometry validation; no new FSI physics
voxel_sphere,voxel,configs/step20_voxel_sphere_geometry.json,voxel,moving_boundary,engineering,True,False,True,ok,0,0,outputs/step23_quality_gated_voxel_sphere_48_modes/voxel_sphere_48_moving_boundary_engineering/geometry_quality_report.json,48,4096,10,10,10,100,0.984066367149353,1.017020344734192,0.008774809539318085,0.9993807673454285,0.028837664052844048,0.09944111108779907,14151,0.0,0.41778624057769775,37206,4096,1.0,True,Step 23 quality-gated synthetic imported geometry validation; no new FSI physics
voxel_sphere,voxel,configs/step20_voxel_sphere_geometry.json,voxel,moving_boundary,link_area_experimental,True,False,True,ok,0,0,outputs/step23_quality_gated_voxel_sphere_48_modes/voxel_sphere_48_moving_boundary_link_area_experimental/geometry_quality_report.json,48,4096,10,10,10,100,0.9840658903121948,1.017020583152771,0.008774684742093086,0.9993806481361389,0.028837908059358597,0.09944106638431549,14151,0.0,0.41778653860092163,37206,4096,0.7840348482131958,True,Step 23 quality-gated synthetic imported geometry validation; no new FSI physics
