metric,value
activation_feature_count,5
combined_runtime_geometry_wall_velocity_enabled_count,1
geometry_motion_application_mode,diagnostic_only
geometry_type,squid_proxy
ggui_renderer_called_count,1
ggui_screenshot_count,1
ggui_visualization_enabled_count,1
grid_48_enabled_count,1
grid_64_enabled_count,0
guard_pass_count,33
guard_row_count,33
link_area_enabled_count,0
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_48_5step_ggui_visual_run
row_count,33
runtime_geometry_enabled_count,1
squid_proxy_enabled_count,1
step100_activation_guard_pass,True
wall_velocity_application_mode,solid_vel_experimental
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
