case,mode_class,reaction_transfer_mode,rho_min_drift_cycle2_minus_cycle1,rho_max_drift_cycle2_minus_cycle1,lbm_max_v_drift,mpm_min_J_drift,projected_mass_drift,hydro_force_max_norm_drift,bb_max_correction_drift,drift_pass
experimental_48_moving_boundary,experimental,engineering,-0.00023543834686279297,-0.0030183792114257812,0.00016578752547502518,0.001018226146697998,1.862645149230957e-09,-0.0016034841537475586,0.00010488880798220634,True
static_48_moving_boundary,static,engineering,-0.0008631348609924316,-0.0016460418701171875,0.0018947357311844826,0.001020967960357666,-5.587935447692871e-09,-0.0007847845554351807,0.0006402526050806046,True
experimental_48_link_area,experimental,link_area_experimental,-0.00021260976791381836,-0.0030274391174316406,0.00014548562467098236,0.0010012388229370117,-3.725290298461914e-09,-0.0014577805995941162,0.00010116421617567539,True
static_48_link_area,static,link_area_experimental,-0.0009014010429382324,-0.0015925168991088867,0.0018939841538667679,0.0010239481925964355,-5.587935447692871e-09,-0.0006444752216339111,0.0006255988264456391,True
