actual_kind,canonical_module,check,error,expected_kind,pass,symbol
class,src.mpm_lbm.sim.runtime_geometry.projection_config,canonical_symbol_import,,class,True,RuntimeGeometryProjectionIntegrationConfig
function,src.mpm_lbm.sim.runtime_geometry.projection_config,canonical_symbol_import,,function,True,validate_runtime_geometry_projection_config
function,src.mpm_lbm.sim.runtime_geometry.projection_config,canonical_symbol_import,,function,True,summarize_runtime_geometry_projection_config_validation
function,src.mpm_lbm.sim.runtime_geometry.projection_config,canonical_symbol_import,,function,True,mutation_flags
function,src.mpm_lbm.sim.runtime_geometry.projection_config,canonical_symbol_import,,function,True,mutation_flag_enabled_count
constant,src.mpm_lbm.sim.runtime_geometry.projection_config,canonical_symbol_import,,constant,True,MUTATION_FLAG_FIELDS
constant,src.mpm_lbm.sim.runtime_geometry.projection,canonical_symbol_import,,constant,True,RUNTIME_PROJECTION_FIELDS
function,src.mpm_lbm.sim.runtime_geometry.projection,canonical_symbol_import,,function,True,compute_runtime_projection_rows
function,src.mpm_lbm.sim.runtime_geometry.projection,canonical_symbol_import,,function,True,compute_original_projection_rows
function,src.mpm_lbm.sim.runtime_geometry.projection,canonical_symbol_import,,function,True,project_transient_geometry_copy
function,src.mpm_lbm.sim.runtime_geometry.projection,canonical_symbol_import,,function,True,summarize_runtime_projection_rows
function,src.mpm_lbm.sim.runtime_geometry.projection_quality,canonical_symbol_import,,function,True,analyze_runtime_projection_quality
function,src.mpm_lbm.sim.runtime_geometry.projection_consistency,canonical_symbol_import,,function,True,compare_original_vs_runtime_projection
function,src.mpm_lbm.sim.runtime_geometry.projection_consistency,canonical_symbol_import,,function,True,summarize_original_vs_runtime_projection
function,src.mpm_lbm.sim.runtime_geometry.projection_consistency,canonical_symbol_import,,function,True,projection_phase_closure_rows
function,src.mpm_lbm.sim.runtime_geometry.projection_consistency,canonical_symbol_import,,function,True,summarize_projection_phase_closure
function,src.mpm_lbm.sim.runtime_geometry.projection_consistency,canonical_symbol_import,,function,True,compare_step44_projection_smoke
function,src.mpm_lbm.sim.runtime_geometry.projection_consistency,canonical_symbol_import,,function,True,summarize_step44_projection_alignment
function,src.mpm_lbm.sim.runtime_geometry.state_guard,canonical_symbol_import,,function,True,compute_runtime_projection_state_guard
function,src.mpm_lbm.sim.runtime_geometry.state_guard,canonical_symbol_import,,function,True,write_runtime_projection_state_guard
constant,src.mpm_lbm.sim.runtime_geometry.state_guard,canonical_symbol_import,,constant,True,STATE_GUARD_FIELDS
,,output_snapshot_unchanged_after_imports,,,True,
