sample_index,completed_lbm_substeps,time_s,inlet_mean_ux,mid_mean_ux,outlet_mean_ux,rho_min,rho_max,mass_total,has_nan,has_inf
0,0,0.0,0.0,0.0,0.0,1.0,1.0,3840.0,False,False
1,120,0.0005,0.02000000700354576,0.008910303935408592,0.013613778166472912,0.9999997615814209,1.0282245874404907,3907.39404296875,False,False
2,240,0.001,0.02000000700354576,0.012843267992138863,0.013794571161270142,0.9999998807907104,1.0194919109344482,3878.9326171875,False,False
3,360,0.0015,0.02000000700354576,0.01217216718941927,0.012216036207973957,0.9999998807907104,1.0195003747940063,3879.52587890625,False,False
4,480,0.002,0.02000000700354576,0.012285999022424221,0.012409533374011517,0.9999998211860657,1.02000892162323,3880.644775390625,False,False
5,600,0.0025,0.02000000700354576,0.012311721220612526,0.012421811930835247,0.9999998211860657,1.0198887586593628,3880.30859375,False,False
6,720,0.003,0.02000000700354576,0.012302379123866558,0.01240539737045765,0.9999998211860657,1.019887924194336,3880.3173828125,False,False
7,840,0.0035,0.02000000700354576,0.012305546551942825,0.012409361079335213,0.9999998807907104,1.0198941230773926,3880.331298828125,False,False
8,960,0.004,0.02000000700354576,0.012307901866734028,0.012411537580192089,0.9999998807907104,1.019892692565918,3880.3271484375,False,False
9,1080,0.0045000000000000005,0.02000000700354576,0.012309523299336433,0.012413271702826023,0.9999998211860657,1.0198925733566284,3880.3271484375,False,False
10,1200,0.005,0.02000000700354576,0.012310833670198917,0.01241440512239933,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
11,1320,0.0055,0.02000000700354576,0.012311778031289577,0.012414632365107536,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
12,1440,0.006,0.02000000700354576,0.012312418781220913,0.012414134107530117,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
13,1560,0.006500000000000001,0.02000000700354576,0.012312857434153557,0.012413231655955315,0.9999999403953552,1.019892692565918,3880.327392578125,False,False
14,1680,0.007,0.02000000700354576,0.012313184328377247,0.012412144802510738,0.9999998807907104,1.0198925733566284,3880.3271484375,False,False
15,1800,0.0075,0.02000000700354576,0.012313403189182281,0.012411168776452541,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
16,1920,0.008,0.02000000700354576,0.012313557788729668,0.012410293333232403,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
17,2040,0.0085,0.02000000700354576,0.012313666753470898,0.012409585528075695,0.9999998807907104,1.0198923349380493,3880.327392578125,False,False
18,2160,0.009000000000000001,0.02000000700354576,0.012313740327954292,0.012409038841724396,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
19,2280,0.0095,0.02000000700354576,0.012313795275986195,0.012408584356307983,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
20,2400,0.01,0.02000000700354576,0.012313841842114925,0.012408247217535973,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
21,2520,0.0105,0.02000000700354576,0.012313878163695335,0.012407924979925156,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
22,2640,0.011,0.02000000700354576,0.012313872575759888,0.01240763533860445,0.9999998807907104,1.0198925733566284,3880.3271484375,False,False
23,2760,0.0115,0.02000000700354576,0.012313904240727425,0.012407536618411541,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
24,2880,0.012,0.02000000700354576,0.012313907966017723,0.012407459318637848,0.9999998807907104,1.0198924541473389,3880.3271484375,False,False
25,3000,0.0125,0.02000000700354576,0.012313904240727425,0.012407330796122551,0.9999998211860657,1.0198923349380493,3880.327392578125,False,False
26,3120,0.013000000000000001,0.02000000700354576,0.01231392752379179,0.012407268397510052,0.9999998211860657,1.0198925733566284,3880.32763671875,False,False
27,3240,0.0135,0.02000000700354576,0.012313926592469215,0.012407236732542515,0.9999998807907104,1.0198924541473389,3880.32763671875,False,False
28,3360,0.014,0.02000000700354576,0.012313940562307835,0.012407169677317142,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
29,3480,0.0145,0.02000000700354576,0.01231393776834011,0.012407122179865837,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
30,3600,0.015,0.02000000700354576,0.012313926592469215,0.01240713894367218,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
31,3720,0.0155,0.02000000700354576,0.012313945218920708,0.012407111003994942,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
32,3840,0.016,0.02000000700354576,0.012313909828662872,0.012407098896801472,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
33,3960,0.0165,0.02000000700354576,0.01231388933956623,0.012407063506543636,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
34,4080,0.017,0.02000000700354576,0.01231394149363041,0.012407037429511547,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
35,4200,0.0175,0.02000000700354576,0.012313920073211193,0.01240701973438263,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
36,4320,0.018000000000000002,0.02000000700354576,0.012313909828662872,0.01240701787173748,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
37,4440,0.0185,0.02000000700354576,0.01231393963098526,0.012407016940414906,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
38,4560,0.019,0.02000000700354576,0.01231393776834011,0.012407056987285614,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
39,4680,0.0195,0.02000000700354576,0.012313914485275745,0.012407038360834122,0.9999998211860657,1.0198924541473389,3880.327392578125,False,False
40,4800,0.02,0.02000000700354576,0.012313907966017723,0.012407049536705017,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
41,4920,0.0205,0.02000000700354576,0.012313912622630596,0.01240709237754345,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
42,5040,0.021,0.02000000700354576,0.012313912622630596,0.012407064437866211,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
43,5160,0.021500000000000002,0.02000000700354576,0.012313907034695148,0.012407081201672554,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
44,5280,0.022,0.02000000700354576,0.012313926592469215,0.012407099828124046,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
45,5400,0.0225,0.02000000700354576,0.012313926592469215,0.012407134287059307,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
46,5520,0.023,0.02000000700354576,0.012313928455114365,0.012407144531607628,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
47,5640,0.0235,0.02000000700354576,0.012313878163695335,0.01240712683647871,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
48,5760,0.024,0.02000000700354576,0.012313863262534142,0.012407146394252777,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
49,5880,0.0245,0.02000000700354576,0.012313911691308022,0.012407135218381882,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
50,6000,0.025,0.02000000700354576,0.012313909828662872,0.012407145462930202,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
