comparison,static_case,experimental_case,reaction_transfer_mode,both_stable,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,active_cell_count_delta,bb_link_count_delta,experimental_applied_velocity_max,notes,comparison_pass
static_vs_experimental_engineering,static_48_moving_boundary,experimental_48_moving_boundary,engineering,True,-0.007746577262878418,0.004618048667907715,0.004948190646246076,1.1920928955078125e-06,0.0,0,0,0.007021783310068709,bounded Step 38 static-vs-experimental one-cycle proxy comparison,True
static_vs_experimental_link_area_experimental,static_48_link_area,experimental_48_link_area,link_area_experimental,True,-0.007814168930053711,0.004730701446533203,0.004970254842191935,-1.806020736694336e-05,3.725290298461914e-09,0,0,0.007021783310068709,bounded Step 38 static-vs-experimental one-cycle proxy comparison,True
