path,size_bytes,extension,forbidden,pass
outputs/step109_driver_runs/cap_1e-4_scale_1/diagnostics_timeseries.npz,19524,.npz,False,True
outputs/step109_driver_runs/cap_1e-4_scale_1/driver_config.json,2071,.json,False,True
outputs/step109_driver_runs/cap_1e-4_scale_1/duct_boundary_condition_report.json,634,.json,False,True
outputs/step109_driver_runs/cap_1e-4_scale_1/duct_static_geometry_report.json,568,.json,False,True
outputs/step109_driver_runs/cap_1e-4_scale_1/flap_tip_displacement_timeseries.csv,4115,.csv,False,True
outputs/step109_driver_runs/cap_1e-4_scale_1/geo_duct_flap_proxy_48.dat,331776,.dat,False,True
outputs/step109_driver_runs/cap_1e-4_scale_1/geometry_quality_report.json,2290,.json,False,True
outputs/step109_driver_runs/E_1e4/diagnostics_timeseries.csv,16568,.csv,False,True
outputs/step109_driver_runs/E_1e4/diagnostics_timeseries.npz,19524,.npz,False,True
outputs/step109_driver_runs/E_1e4/driver_config.json,2117,.json,False,True
outputs/step109_driver_runs/E_1e4/duct_boundary_condition_report.json,634,.json,False,True
outputs/step109_driver_runs/E_1e4/duct_static_geometry_report.json,568,.json,False,True
outputs/step109_driver_runs/E_1e4/flap_tip_displacement_timeseries.csv,4115,.csv,False,True
outputs/step109_driver_runs/E_1e4/geo_duct_flap_proxy_48.dat,331776,.dat,False,True
outputs/step109_driver_runs/E_1e4/geometry_quality_report.json,2288,.json,False,True
outputs/step109_driver_runs/E_1e5/diagnostics_timeseries.csv,16586,.csv,False,True
outputs/step109_driver_runs/E_1e5/diagnostics_timeseries.npz,19524,.npz,False,True
outputs/step109_driver_runs/E_1e5/driver_config.json,2117,.json,False,True
outputs/step109_driver_runs/E_1e5/duct_boundary_condition_report.json,634,.json,False,True
outputs/step109_driver_runs/E_1e5/duct_static_geometry_report.json,568,.json,False,True
outputs/step109_driver_runs/E_1e5/flap_tip_displacement_timeseries.csv,4128,.csv,False,True
outputs/step109_driver_runs/E_1e5/geo_duct_flap_proxy_48.dat,331776,.dat,False,True
outputs/step109_driver_runs/E_1e5/geometry_quality_report.json,2289,.json,False,True
outputs/step109_monitor_sensitivity/monitor_sensitivity_report.csv,914,.csv,False,True
outputs/step109_monitor_sensitivity/monitor_sensitivity_report.json,2512,.json,False,True
outputs/step109_monitor_sensitivity/monitor_sensitivity_report.md,1252,.md,False,True
outputs/step109_monitor_sensitivity/monitor_sensitivity_summary.csv,217,.csv,False,True
outputs/step109_monitor_sensitivity/monitor_timeseries_free_tip_proxy_max_total_displacement.csv,5199,.csv,False,True
outputs/step109_monitor_sensitivity/monitor_timeseries_free_tip_proxy_mean.csv,5212,.csv,False,True
outputs/step109_monitor_sensitivity/monitor_timeseries_nearest_public_monitor_point.csv,5207,.csv,False,True
outputs/step109_monitor_sensitivity/monitor_timeseries_top_5_nearest_public_monitor_mean.csv,5213,.csv,False,True
outputs/step109_response_sensitivity_matrix/best_candidate_error_report.json,2432,.json,False,True
outputs/step109_response_sensitivity_matrix/best_candidate_flap_tip_displacement_timeseries.csv,4116,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_base.csv,4110,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_cap_1e-1_scale_1.csv,4101,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_cap_1e-1_scale_10.csv,4116,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_cap_1e-2_scale_1.csv,4118,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_cap_1e-2_scale_10.csv,4118,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_cap_1e-3_scale_1.csv,4116,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_cap_1e-4_scale_1.csv,4115,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_E_1e4.csv,4115,.csv,False,True
outputs/step109_response_sensitivity_matrix/curves/flap_tip_displacement_timeseries_E_1e5.csv,4128,.csv,False,True
outputs/step109_response_sensitivity_matrix/generated_geometry_configs/step109_geometry_E_1e4.json,1394,.json,False,True
outputs/step109_response_sensitivity_matrix/generated_geometry_configs/step109_geometry_E_1e5.json,1395,.json,False,True
outputs/step109_response_sensitivity_matrix/monitor_timeseries/cap_1e-1_scale_10__free_tip_proxy_max_total_displacement.csv,5199,.csv,False,True
outputs/step109_response_sensitivity_matrix/monitor_timeseries/cap_1e-1_scale_10__free_tip_proxy_mean.csv,5212,.csv,False,True
outputs/step109_response_sensitivity_matrix/monitor_timeseries/cap_1e-1_scale_10__nearest_public_monitor_point.csv,5207,.csv,False,True
outputs/step109_response_sensitivity_matrix/monitor_timeseries/cap_1e-1_scale_10__top_5_nearest_public_monitor_mean.csv,5213,.csv,False,True
outputs/step109_response_sensitivity_matrix/response_matrix_progress.json,15020,.json,False,True
outputs/step109_response_sensitivity_matrix/response_matrix_report.csv,4907,.csv,False,True
outputs/step109_response_sensitivity_matrix/response_matrix_report.json,15859,.json,False,True
outputs/step109_response_sensitivity_matrix/response_matrix_report.md,6157,.md,False,True
outputs/step109_response_sensitivity_matrix/response_matrix_summary.csv,717,.csv,False,True
