phase,active_cell_count_32,active_cell_count_48,active_cell_count_ratio_48_vs_32,active_cell_count_delta_48_minus_32,applied_cell_count_32,applied_cell_count_48,applied_cell_count_ratio_48_vs_32,applied_cell_count_delta_48_minus_32,bb_link_count_32,bb_link_count_48,bb_link_count_ratio_48_vs_32,bb_link_count_delta_48_minus_32,projected_mass_32,projected_mass_48,projected_mass_delta_48_minus_32,rho_min_32,rho_min_48,rho_max_32,rho_max_48,lbm_max_v_32,lbm_max_v_48,hydro_force_norm_32,hydro_force_norm_48,hydro_force_ratio_48_vs_32,impulse_proxy_32,impulse_proxy_48,impulse_proxy_ratio_48_vs_32,all_values_finite,all_ratios_finite
0.0,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9989497868864641,0.9989499316320499,1.001050213113536,1.00105006836795,0.0005021311353590662,0.0005006836795005674,3.253809757126749e-07,1.0694603394132118e-06,3.2867943095652596,1.3015239028506996e-05,4.277841357652847e-05,3.286794309565259,True,True
0.025,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.998948786886464,0.9989489316320499,1.0010512131135358,1.00105106836795,0.0005021311353590662,0.0005006836795005674,3.253809757126749e-07,1.0694603394132118e-06,3.2867943095652596,1.3015239028506996e-05,4.277841357652847e-05,3.286794309565259,True,True
0.05,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9989477868864641,0.99894793163205,1.001052213113536,1.00105206836795,0.0005021311353590662,0.0005006836795005674,3.253809757126749e-07,1.0694603394132118e-06,3.2867943095652596,1.3015239028506996e-05,4.277841357652847e-05,3.286794309565259,True,True
0.075,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9984103638686903,0.9984120549207787,1.0015896361313097,1.0015879450792213,0.005866361313097195,0.005849450792213756,3.8014021308869824e-06,1.2494426892168583e-05,3.2867943095652588,0.0001520560852354793,0.0004997770756867433,3.2867943095652588,True,True
0.1,642,648,1.0093457943925233,6,648,2136,3.2962962962962963,1488,3852,3888,1.0093457943925233,36,1.0,1.0,0.0,0.9984087638686903,0.9984110549207786,1.0015912361313097,1.0015889450792215,0.005866361313097195,0.005849450792213756,6.380140213088699e-05,1.2494426892168583e-05,0.19583310828399317,0.0025520560852354797,0.0004997770756867433,0.19583310828399314,True,True
0.125,642,648,1.0093457943925233,6,648,2136,3.2962962962962963,1488,3852,3888,1.0093457943925233,36,1.0,1.0,0.0,0.9984077638686902,0.9984100549207786,1.0015922361313097,1.0015899450792214,0.005866361313097195,0.005849450792213756,6.380140213088699e-05,1.2494426892168583e-05,0.19583310828399317,0.0025520560852354797,0.0004997770756867433,0.19583310828399314,True,True
0.15,642,648,1.0093457943925233,6,648,2136,3.2962962962962963,1488,3852,3888,1.0093457943925233,36,1.0,1.0,0.0,0.9984067638686903,0.9984090549207786,1.0015932361313098,1.0015909450792213,0.005866361313097195,0.005849450792213756,6.380140213088699e-05,1.2494426892168583e-05,0.19583310828399317,0.0025520560852354797,0.0004997770756867433,0.19583310828399314,True,True
0.175,642,648,1.0093457943925233,6,648,2136,3.2962962962962963,1488,3852,3888,1.0093457943925233,36,1.0,1.0,0.0,0.998288191700411,0.9982908216689931,1.0017118082995888,1.0017091783310068,0.007042082995889119,0.007021783310068709,6.456326978133616e-05,1.4998529150306762e-05,0.23230745904140238,0.0025825307912534464,0.0005999411660122704,0.23230745904140238,True,True
0.2,642,648,1.0093457943925233,6,648,2136,3.2962962962962963,1488,3852,3888,1.0093457943925233,36,1.0,1.0,0.0,0.9982871917004111,0.9982898216689932,1.001712808299589,1.001710178331007,0.007042082995889119,0.007021783310068709,6.456326978133616e-05,1.4998529150306762e-05,0.23230745904140238,0.0025825307912534464,0.0005999411660122704,0.23230745904140238,True,True
0.225,547,648,1.1846435100548447,101,648,2136,3.2962962962962963,1488,3282,3888,1.1846435100548447,606,1.0,1.0,0.0,0.9982766917004111,0.9982888216689931,1.0017233082995889,1.0017111783310069,0.007042082995889119,0.007021783310068709,0.0010145632697813362,1.4998529150306762e-05,0.014783236883333379,0.04058253079125344,0.0005999411660122704,0.014783236883333379,True,True
0.25,471,648,1.375796178343949,177,648,2136,3.2962962962962963,1488,2826,3888,1.375796178343949,1062,1.0,1.0,0.0,0.9982680917004111,0.9982878216689931,1.0017319082995888,1.0017121783310068,0.007042082995889119,0.007021783310068709,0.0017745632697813362,1.4998529150306762e-05,0.008451955140576587,0.07098253079125345,0.0005999411660122704,0.008451955140576586,True,True
0.275,447,648,1.4496644295302012,201,648,2136,3.2962962962962963,1488,2682,3888,1.4496644295302012,1206,1.0,1.0,0.0,0.9989511548037436,0.9989713059564933,1.0010488451962565,1.0010286940435067,0.0001774519625640706,0.00017694043506711124,0.0020101149888717418,3.779447693033496e-07,0.00018802146712785142,0.08040459955486967,1.5117790772133983e-05,0.0001880214671278514,True,True
0.3,443,648,1.4627539503386005,205,648,2136,3.2962962962962963,1488,2658,3888,1.4627539503386005,1230,1.0,1.0,0.0,0.9989497548037436,0.9989703059564933,1.0010502451962564,1.0010296940435066,0.0001774519625640706,0.00017694043506711124,0.002050114988871742,3.779447693033496e-07,0.0001843529613484497,0.08200459955486968,1.5117790772133983e-05,0.00018435296134844967,True,True
0.325,443,648,1.4627539503386005,205,648,2136,3.2962962962962963,1488,2658,3888,1.4627539503386005,1230,1.0,1.0,0.0,0.9989487548037436,0.9989693059564932,1.0010512451962563,1.0010306940435068,0.0001774519625640706,0.00017694043506711124,0.002050114988871742,3.779447693033496e-07,0.0001843529613484497,0.08200459955486968,1.5117790772133983e-05,0.00018435296134844967,True,True
0.35,443,648,1.4627539503386005,205,648,2136,3.2962962962962963,1488,2658,3888,1.4627539503386005,1230,1.0,1.0,0.0,0.9989477548037436,0.9989683059564933,1.0010522451962565,1.0010316940435067,0.0001774519625640706,0.00017694043506711124,0.002050114988871742,3.779447693033496e-07,0.0001843529613484497,0.08200459955486968,1.5117790772133983e-05,0.00018435296134844967,True,True
0.375,444,648,1.4594594594594594,204,648,2136,3.2962962962962963,1488,2664,3888,1.4594594594594594,1224,1.0,1.0,0.0,0.9989468548037436,0.9989673059564933,1.0010531451962563,1.0010326940435068,0.0001774519625640706,0.00017694043506711124,0.002040114988871742,3.779447693033496e-07,0.00018525660139988818,0.08160459955486968,1.5117790772133983e-05,0.00018525660139988816,True,True
0.4,444,644,1.4504504504504505,200,648,2136,3.2962962962962963,1488,2664,3864,1.4504504504504505,1200,1.0,1.0,0.0,0.9989458548037435,0.9989659059564933,1.0010541451962565,1.0010340940435067,0.0001774519625640706,0.00017694043506711124,0.002040114988871742,4.0377944769303355e-05,0.019791994563813205,0.08160459955486968,0.001615117790772134,0.019791994563813205,True,True
0.425,444,644,1.4504504504504505,200,648,2136,3.2962962962962963,1488,2664,3864,1.4504504504504505,1200,1.0,1.0,0.0,0.9989448548037436,0.9989649059564933,1.0010551451962564,1.0010350940435067,0.0001774519625640706,0.00017694043506711124,0.002040114988871742,4.0377944769303355e-05,0.019791994563813205,0.08160459955486968,0.001615117790772134,0.019791994563813205,True,True
0.45,444,644,1.4504504504504505,200,648,2136,3.2962962962962963,1488,2664,3864,1.4504504504504505,1200,1.0,1.0,0.0,0.9986864572006204,0.9987072503341843,1.0013135427993796,1.0012927496658157,0.002751427993795465,0.002743496658157396,0.00204178292533998,4.58601088618242e-05,0.02246081514967512,0.0816713170135992,0.001834404354472968,0.022460815149675118,True,True
0.475,444,644,1.4504504504504505,200,648,2136,3.2962962962962963,1488,2664,3864,1.4504504504504505,1200,1.0,1.0,0.0,0.9986854572006204,0.9987062503341843,1.0013145427993795,1.0012937496658156,0.002751427993795465,0.002743496658157396,0.00204178292533998,4.58601088618242e-05,0.02246081514967512,0.0816713170135992,0.001834404354472968,0.022460815149675118,True,True
0.5,452,644,1.424778761061947,192,648,2136,3.2962962962962963,1488,2712,3864,1.424778761061947,1152,1.0,1.0,0.0,0.9986852572006204,0.9987052503341842,1.0013147427993796,1.0012947496658158,0.002751427993795465,0.002743496658157396,0.00196178292533998,4.58601088618242e-05,0.023376749929596097,0.0784713170135992,0.001834404354472968,0.023376749929596097,True,True
0.525,464,644,1.3879310344827587,180,648,2136,3.2962962962962963,1488,2784,3864,1.3879310344827587,1080,1.0,1.0,0.0,0.9986854572006204,0.9987042503341843,1.0013145427993795,1.0012957496658157,0.002751427993795465,0.002743496658157396,0.0018417829253399795,4.58601088618242e-05,0.02489984472701025,0.07367131701359918,0.001834404354472968,0.02489984472701025,True,True
0.55,492,644,1.3089430894308942,152,648,2136,3.2962962962962963,1488,2952,3864,1.3089430894308942,912,1.0,1.0,0.0,0.9986872572006205,0.9987032503341843,1.0013127427993795,1.0012967496658158,0.002751427993795465,0.002743496658157396,0.0015617829253399796,4.58601088618242e-05,0.029363945602005514,0.06247131701359918,0.001834404354472968,0.029363945602005517,True,True
0.575,532,644,1.2105263157894737,112,648,2136,3.2962962962962963,1488,3192,3864,1.2105263157894737,672,1.0,1.0,0.0,0.9986902572006204,0.9987022503341842,1.0013097427993796,1.0012977496658158,0.002751427993795465,0.002743496658157396,0.0011617829253399794,4.58601088618242e-05,0.03947390503127242,0.046471317013599175,0.001834404354472968,0.03947390503127242,True,True
0.6,612,644,1.0522875816993464,32,648,2136,3.2962962962962963,1488,3672,3864,1.0522875816993464,192,1.0,1.0,0.0,0.9986972572006204,0.9987012503341842,1.0013027427993795,1.0012987496658157,0.002751427993795465,0.002743496658157396,0.0003617829253399795,4.58601088618242e-05,0.12676139654387483,0.01447131701359918,0.001834404354472968,0.12676139654387483,True,True
0.625,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986998572006205,0.9987006503341843,1.0013001427993795,1.0012993496658158,0.002751427993795465,0.002743496658157396,1.7829253399794613e-06,5.860108861824198e-06,3.2867943095652588,7.131701359917845e-05,0.00023440435447296792,3.286794309565259,True,True
0.65,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986070791994376,0.9986081368945793,1.0013929208005625,1.0013918631054206,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
0.675,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986060791994376,0.9986071368945793,1.0013939208005624,1.0013928631054207,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
0.7,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986050791994375,0.9986061368945793,1.0013949208005624,1.0013938631054207,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
0.725,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986040791994376,0.9986051368945793,1.0013959208005625,1.0013948631054208,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
0.75,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986030791994376,0.9986041368945793,1.0013969208005624,1.0013958631054207,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
0.775,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986020791994376,0.9986031368945792,1.0013979208005623,1.0013968631054206,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
0.8,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986010791994375,0.9986021368945793,1.0013989208005625,1.0013978631054208,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
0.825,648,648,1.0,0,648,2136,3.2962962962962963,1488,3888,3888,1.0,0,1.0,1.0,0.0,0.9986000791994376,0.9986011368945793,1.0013999208005624,1.0013988631054207,0.003669208005624384,0.003658631054207112,2.377646787644601e-06,7.81483593178639e-06,3.2867943095652583,9.510587150578403e-05,0.0003125934372714556,3.2867943095652583,True,True
