region_id,name,role,material,parent_id,active_for_actuation,point_count,sample_count,estimated_volume,volume_fraction,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_finite,mask_is_boolean,diagnostics_finite,notes
mantle_outer,mantle outer proxy,solid_region,solid_proxy,,False,648,32768,0.019775390625,0.019775390625,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,True,True,True,outer mantle semantic proxy; static region only; not anatomical validation
mantle_cavity_proxy,mantle cavity proxy,cavity_proxy,void_semantic_proxy,mantle_outer,False,100,32768,0.0030517578125,0.0030517578125,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,True,True,True,internal cavity semantics only; static descriptor; not anatomical validation
funnel_outlet_proxy,funnel outlet proxy,outlet_proxy,outlet_semantic_proxy,mantle_outer,False,8,32768,0.000244140625,0.000244140625,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,True,True,True,static funnel or siphon outlet semantics only; no prescribed motion
head_proxy,head proxy,solid_region,solid_proxy,,False,136,32768,0.004150390625,0.004150390625,0.421875,0.265625,0.421875,0.578125,0.453125,0.578125,True,True,True,coarse head semantic proxy; static region only; not anatomical validation
arms_proxy,arms proxy,appendage_proxy,solid_proxy,head_proxy,False,34,32768,0.00103759765625,0.00103759765625,0.421875,0.140625,0.453125,0.578125,0.296875,0.546875,True,True,True,coarse arms semantic proxy; static region only; not anatomical validation
left_fin_proxy,left fin proxy,fin_proxy,solid_proxy,mantle_outer,False,18,32768,0.00054931640625,0.00054931640625,0.328125,0.578125,0.484375,0.390625,0.640625,0.515625,True,True,True,optional left fin semantic proxy; static region only
right_fin_proxy,right fin proxy,fin_proxy,solid_proxy,mantle_outer,False,18,32768,0.00054931640625,0.00054931640625,0.609375,0.578125,0.484375,0.671875,0.640625,0.515625,True,True,True,optional right fin semantic proxy; static region only
