step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,8.348847083174766e-07,2.1457672119140628e-07,-7.784366607666017e-07,2.1219253540039063e-07
2,0.001,2.5031331612172052e-06,6.389617919921875e-07,-2.3305416107177735e-06,6.526708602905273e-07
3,0.0015,4.994982501056685e-06,1.2624263763427734e-06,-4.645586013793946e-06,1.3321638107299806e-06
4,0.002,8.29790306783472e-06,2.0825862884521483e-06,-7.706880569458008e-06,2.2631883621215824e-06
5,0.0025,1.2391629499914654e-05,3.092288970947266e-06,-1.1492967605590822e-05,3.44991683959961e-06
6,0.003,1.7253503458408344e-05,4.286766052246094e-06,-1.597762107849121e-05,4.9012899398803705e-06
7,0.0035,2.2858276609407468e-05,5.656480789184571e-06,-2.1133422851562504e-05,6.624460220336915e-06
8,0.004,2.9176662367014413e-05,7.19904899597168e-06,-2.692759037017823e-05,8.623003959655763e-06
9,0.0045000000000000005,3.61795977248959e-05,8.90493392944336e-06,-3.3329725265502933e-05,1.089930534362793e-05
10,0.005,4.3838999653364877e-05,1.0771751403808595e-05,-4.030764102935792e-05,1.345813274383545e-05
11,0.0055,5.212564629444146e-05,1.2788772583007813e-05,-4.7830939292907716e-05,1.6301274299621583e-05
12,0.006,6.101478853180919e-05,1.495480537414551e-05,-5.587160587310792e-05,1.9429922103881837e-05
13,0.006500000000000001,7.048234739197934e-05,1.7262697219848633e-05,-6.440341472625734e-05,2.2846460342407227e-05
14,0.007,8.050921180449912e-05,1.9708871841430666e-05,-7.340490818023683e-05,2.6552081108093267e-05
15,0.0075,9.107850220093254e-05,2.2292137145996097e-05,-8.285701274871827e-05,3.054618835449218e-05
16,0.008,0.00010217778904232363,2.50089168548584e-05,-9.274482727050783e-05,3.483176231384277e-05
17,0.0085,0.00011379755363074877,2.7856826782226563e-05,-0.00010305762290954592,3.940820693969727e-05
18,0.009000000000000001,0.0001259347577027527,3.083586692810059e-05,-0.00011379122734069824,4.4274926185607914e-05
19,0.0095,0.00013858614491591006,3.394722938537599e-05,-0.0001249402761459351,4.9433112144470216e-05
20,0.01,0.0001517562722445646,3.719210624694824e-05,-0.00013650715351104737,5.488634109497071e-05
21,0.0105,0.00016544818977058236,4.05728816986084e-05,-0.00014849543571472166,6.06304407119751e-05
22,0.011,0.0001796695384262566,4.409313201904297e-05,-0.0001609104871749878,6.666898727416992e-05
23,0.0115,0.00019442760806575825,4.775285720825196e-05,-0.00017376005649566653,7.300138473510743e-05
24,0.012,0.00020973249053264404,5.155563354492189e-05,-0.0001870536804199219,7.962822914123535e-05
25,0.0125,0.000225592940784636,5.550742149353027e-05,-0.00020079910755157476,8.654952049255371e-05
26,0.013000000000000001,0.00024201668803518905,5.960822105407715e-05,-0.00021500468254089357,9.376525878906251e-05
27,0.0135,0.0002590127222444623,6.386160850524901e-05,-0.000229678750038147,0.00010127663612365723
28,0.014,0.00027658522173245345,6.826758384704591e-05,-0.000244826078414917,0.00010908305644989013
29,0.0145,0.00029473820071555465,7.283210754394532e-05,-0.00026044964790344243,0.00011718392372131348
30,0.015,0.00031346966402013714,7.755398750305175e-05,-0.00027654767036437987,0.0001255786418914795
31,0.0155,0.0003327780873700464,8.243203163146973e-05,-0.0002931183576583863,0.00013426780700683596
32,0.016,0.0003526532125246837,8.746623992919922e-05,-0.00031015157699584964,0.0001432478427886963
33,0.0165,0.0003730871562405448,9.265899658203125e-05,-0.0003276383876800537,0.0001525169610977173
34,0.017,0.0003940640640164291,9.800195693969727e-05,-0.0003455621004104614,0.0001620769500732422
35,0.0175,0.0004155675681297468,0.00010349750518798829,-0.00036390483379364016,0.00017192423343658446
36,0.018000000000000002,0.0004375773751834236,0.00010913968086242677,-0.0003826451301574707,0.00018205821514129638
37,0.0185,0.00046006971490866484,0.00011492371559143066,-0.0004017585515975953,0.0001924753189086914
38,0.019,0.0004830189840789255,0.00012084364891052247,-0.000421217679977417,0.000203174352645874
39,0.0195,0.000506396056204609,0.00012690067291259765,-0.00044100046157836915,0.00021413028240203861
40,0.02,0.000530172273534354,0.00013308882713317872,-0.00046107769012451174,0.00022533833980560304
41,0.0205,0.0005543219978937401,0.00013940572738647462,-0.0004814207553863525,0.00023679733276367189
42,0.021,0.0005788169582713922,0.0001458442211151123,-0.0005020004510879517,0.0002485036849975586
43,0.021500000000000002,0.0006036286679548226,0.0001524031162261963,-0.0005227863788604737,0.00026045203208923344
44,0.022,0.0006287323823780571,0.00015907526016235352,-0.0005437511205673218,0.0002726429700851441
45,0.0225,0.0006541030332837786,0.00016585588455200195,-0.0005648678541183472,0.00028507351875305174
46,0.023,0.0006797174957153258,0.0001727414131164551,-0.0005861109495162964,0.0002977418899536133
47,0.0235,0.000705554214925727,0.00017972588539123536,-0.0006074559688568116,0.0003106486797332764
48,0.024,0.0007315933397150622,0.00018680572509765625,-0.0006288814544677735,0.0003237909078598022
49,0.0245,0.0007577949247586568,0.00019398927688598632,-0.0006503623723983765,0.0003371202945709229
50,0.025,0.0007841417344438686,0.00020127177238464357,-0.0006718814373016358,0.000350632667541504
