metric,value
combined_runtime_geometry_wall_velocity_enabled_count,1
direct_quantitative_equivalence_allowed,False
duct_flap_proxy_enabled_count,1
geometry_type,duct_flap_proxy
ggui_screenshot_count,1
ggui_visualization_enabled_count,1
grid_48_enabled_count,1
grid_64_enabled_count,0
guard_pass_count,24
guard_row_count,24
link_area_enabled_count,0
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_name,fluent_inspired_duct_flap_proxy_48_5step_ggui_comparison_smoke
row_count,24
runtime_geometry_enabled_count,1
step103_activation_guard_pass,True
validation_claim_allowed,False
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
