case,mode,reaction_transfer_mode,n_grid,comparison_source,strict_report_path,nonstrict_report_path,same_quality_kind,same_geometry_type,same_pass,same_severity,strict_reasons_count,nonstrict_reasons_count,strict_warnings_count,nonstrict_warnings_count,mesh_counts_match,voxel_counts_match,reports_match,notes
mesh_cube,moving_boundary,engineering,48,step23_report,outputs/step24_strict_mesh_cube_48_long/mesh_cube_48_moving_boundary_engineering/geometry_quality_report.json,outputs/step23_quality_gated_mesh_cube_48_modes/mesh_cube_48_moving_boundary_engineering/geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
mesh_cube,moving_boundary,link_area_experimental,48,step23_report,outputs/step24_strict_mesh_cube_48_long/mesh_cube_48_moving_boundary_link_area_experimental/geometry_quality_report.json,outputs/step23_quality_gated_mesh_cube_48_modes/mesh_cube_48_moving_boundary_link_area_experimental/geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
mesh_ellipsoid,moving_boundary,engineering,48,step23_report,outputs/step24_strict_mesh_ellipsoid_48_long/mesh_ellipsoid_48_moving_boundary_engineering/geometry_quality_report.json,outputs/step23_quality_gated_mesh_ellipsoid_48_modes/mesh_ellipsoid_48_moving_boundary_engineering/geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
mesh_ellipsoid,moving_boundary,link_area_experimental,48,step23_report,outputs/step24_strict_mesh_ellipsoid_48_long/mesh_ellipsoid_48_moving_boundary_link_area_experimental/geometry_quality_report.json,outputs/step23_quality_gated_mesh_ellipsoid_48_modes/mesh_ellipsoid_48_moving_boundary_link_area_experimental/geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
voxel_sphere,moving_boundary,engineering,48,step23_report,outputs/step24_strict_voxel_sphere_48_long/voxel_sphere_48_moving_boundary_engineering/geometry_quality_report.json,outputs/step23_quality_gated_voxel_sphere_48_modes/voxel_sphere_48_moving_boundary_engineering/geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
voxel_sphere,moving_boundary,link_area_experimental,48,step23_report,outputs/step24_strict_voxel_sphere_48_long/voxel_sphere_48_moving_boundary_link_area_experimental/geometry_quality_report.json,outputs/step23_quality_gated_voxel_sphere_48_modes/voxel_sphere_48_moving_boundary_link_area_experimental/geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
mesh_cube,moving_boundary,engineering,64,qa_only_nonstrict_report,outputs/step24_strict_imported_geometry_64_feasibility/mesh_cube_64_moving_boundary_engineering/geometry_quality_report.json,outputs/step24_strict_non_strict_report_comparison/nonstrict_reports/mesh_cube_64_moving_boundary_engineering_geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
mesh_cube,moving_boundary,link_area_experimental,64,qa_only_nonstrict_report,outputs/step24_strict_imported_geometry_64_feasibility/mesh_cube_64_moving_boundary_link_area_experimental/geometry_quality_report.json,outputs/step24_strict_non_strict_report_comparison/nonstrict_reports/mesh_cube_64_moving_boundary_link_area_experimental_geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
voxel_sphere,moving_boundary,engineering,64,step23_report,outputs/step24_strict_imported_geometry_64_feasibility/voxel_sphere_64_moving_boundary_engineering/geometry_quality_report.json,outputs/step23_quality_gated_imported_geometry_64_feasibility/voxel_sphere_64_moving_boundary_engineering/geometry_quality_report.json,True,True,True,True,0,0,0,0,True,True,True,strict mode changes gate policy only for good synthetic imported geometry
