step,total_mpm_substeps,reaction_transfer_mode,area_policy,area_scale,raw_area_scale,area_proxy_total,area_weighted_hydro_sum_x,area_weighted_hydro_sum_y,area_weighted_hydro_sum_z,bb_link_count,active_reaction_particle_count,max_grid_reaction_norm,net_grid_reaction_force_x,net_grid_reaction_force_y,net_grid_reaction_force_z,cell_force_max_norm,hydro_force_max_norm,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed
0,0,link_area_experimental,inverse_length,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.01953125
5,25,link_area_experimental,inverse_length,0.7772856950759888,0.7772856950759888,8619.669921875,-1.9783834218978882,-1.078959303413285e-05,-0.0841493159532547,11186,16570,2.0407289866852807e-06,0.004929221235215664,-3.0022109243077466e-09,0.004477858543395996,0.0,0.4023546278476715,0.9922732710838318,1.002777338027954,0.005351908039301634,0.9955476522445679,0.041633784770965576
