case,geometry_type,particle_count,geometry_volume,particle_mass_sum,projected_mass,relative_mass_error,active_cell_count,solid_phi_min,solid_phi_max,occupied_count_32,occupied_fraction_32,particle_bounds_min_x,particle_bounds_min_y,particle_bounds_min_z,particle_bounds_max_x,particle_bounds_max_y,particle_bounds_max_z,stable,notes
voxel_sphere,voxel,4096,0.09944105598543468,0.0994410589337349,0.09944096952676773,8.990950832760597e-07,14141,0.0,1.0,3016,0.092041015625,0.2230769246816635,0.2230769246816635,0.2230769246816635,0.7769230604171753,0.7769230604171753,0.7769230604171753,True,projection quality only; no FSI force path
mesh_cube,mesh,4096,0.7478525261720528,0.7478525042533875,0.7478506565093994,2.4707331693457252e-06,61744,0.0,1.0,21952,0.669921875,0.05384615436196327,0.05384615436196327,0.05384615436196327,0.9461538195610046,0.9461538195610046,0.9461538195610046,True,projection quality only; no FSI force path
mesh_ellipsoid,mesh,4096,0.13391715976331361,0.13391715288162231,0.1339172124862671,4.4508596167720854e-07,18330,0.0,1.0,4400,0.13427734375,0.05384615436196327,0.19230769574642181,0.26923078298568726,0.9461538195610046,0.807692289352417,0.7307692170143127,True,projection quality only; no FSI force path
