step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,2.8287600817624556e-07,7.62939453125e-08,-2.7239322662353517e-07,0.0
2,0.001,8.287961021514047e-07,2.169609069824219e-07,-7.998943328857421e-07,0.0
3,0.0015,1.6207983646252452e-06,4.208087921142578e-07,-1.565217971801758e-06,0.0
4,0.002,2.6429799750202363e-06,6.842613220214844e-07,-2.5528669357299804e-06,0.0
5,0.0025,3.877100300684701e-06,1.0013580322265625e-06,-3.7455558776855467e-06,0.0
6,0.003,5.305805709532591e-06,1.3673305511474612e-06,-5.126595497131349e-06,0.0
7,0.0035,6.913201498758682e-06,1.778602600097656e-06,-6.680488586425781e-06,0.0
8,0.004,8.682546327644791e-06,2.232789993286133e-06,-8.390545845031739e-06,0.0
9,0.0045000000000000005,1.0596791886116732e-05,2.7263164520263673e-06,-1.0240077972412112e-05,0.0
10,0.005,1.2639736306763565e-05,3.254413604736328e-06,-1.2213587760925294e-05,0.0
11,0.0055,1.4796675438981659e-05,3.815889358520508e-06,-1.4296174049377441e-05,0.0
12,0.006,1.7053445709364508e-05,4.4071674346923835e-06,-1.6474127769470214e-05,0.0
13,0.006500000000000001,1.9396151357720616e-05,5.023479461669922e-06,-1.873433589935303e-05,0.0
14,0.007,2.181558531466442e-05,5.664825439453125e-06,-2.106726169586182e-05,0.0
15,0.0075,2.4302237046836196e-05,6.3300132751464845e-06,-2.3463368415832518e-05,0.0
16,0.008,2.685089202741375e-05,7.016658782958984e-06,-2.5917887687683108e-05,0.0
17,0.0085,2.9456069473075913e-05,7.723569869995116e-06,-2.8425455093383788e-05,0.0
18,0.009000000000000001,3.211725575364386e-05,8.4531307220459e-06,-3.0984878540039064e-05,0.0
19,0.0095,3.483467260287804e-05,9.201765060424806e-06,-3.359735012054444e-05,0.0
20,0.01,3.761073884079006e-05,9.974241256713867e-06,-3.6264061927795415e-05,0.0
21,0.0105,4.045006890320191e-05,1.0770559310913085e-05,-3.898978233337403e-05,0.0
22,0.011,4.335822760644516e-05,1.1594295501708985e-05,-4.177927970886231e-05,0.0
23,0.0115,4.634148561468906e-05,1.244306564331055e-05,-4.4639706611633305e-05,0.0
24,0.012,4.940802203541956e-05,1.3321638107299805e-05,-4.7578215599060066e-05,0.0
25,0.0125,5.2565059432423334e-05,1.4231204986572268e-05,-5.060195922851563e-05,0.0
26,0.013000000000000001,5.581956650858633e-05,1.5174150466918946e-05,-5.37174940109253e-05,0.0
27,0.0135,5.917908700244138e-05,1.615285873413086e-05,-5.6931972503662114e-05,0.0
28,0.014,6.26511654301932e-05,1.7169713973999027e-05,-6.025254726409913e-05,0.0
29,0.0145,6.624015378253887e-05,1.8225908279418947e-05,-6.36833906173706e-05,0.0
30,0.015,6.994958676071847e-05,1.932382583618164e-05,-6.722748279571532e-05,0.0
31,0.0155,7.378119827718997e-05,2.0463466644287112e-05,-7.088661193847657e-05,0.0
32,0.016,7.773647848907208e-05,2.1646022796630857e-05,-7.466197013854981e-05,0.0
33,0.0165,8.181405891323391e-05,2.2872686386108402e-05,-7.85517692565918e-05,0.0
34,0.017,8.600995478747372e-05,2.4143457412719727e-05,-8.255183696746828e-05,0.0
35,0.0175,9.031904221264846e-05,2.5458335876464847e-05,-8.665680885314942e-05,0.0
36,0.018000000000000002,9.47356321282302e-05,2.6817321777343754e-05,-9.086072444915772e-05,0.0
37,0.0185,9.92505081356521e-05,2.8218030929565434e-05,-9.515464305877686e-05,0.0
38,0.019,0.00010385422366448435,2.9659271240234376e-05,-9.952902793884278e-05,0.0
39,0.0195,0.00010853653999745911,3.114104270935059e-05,-0.00010397315025329589,0.0
40,0.02,0.00011328597726765678,3.266096115112304e-05,-0.00010847568511962891,0.0
41,0.0205,0.00011809197730414479,3.421783447265625e-05,-0.00011302590370178221,0.0
42,0.021,0.00012293987859808458,3.580808639526367e-05,-0.00011760950088500976,0.0
43,0.021500000000000002,0.0001278208523206059,3.743052482604981e-05,-0.00012221753597259523,0.0
44,0.022,0.0001327235830916121,3.908514976501465e-05,-0.00012683808803558354,0.0
45,0.0225,0.0001376366444327877,4.0769577026367194e-05,-0.0001314598321914673,0.0
46,0.023,0.00014255054039107157,4.24802303314209e-05,-0.00013607382774353028,0.0
47,0.0235,0.00014745741222922112,4.4217109680175776e-05,-0.0001406717300415039,0.0
48,0.024,0.00015234942298749017,4.598021507263184e-05,-0.00014524519443511965,0.0
49,0.0245,0.00015722144221593247,4.776716232299805e-05,-0.00014978945255279542,0.0
50,0.025,0.00016206792997708252,4.957795143127442e-05,-0.00015429854393005373,0.0
