row_pair,step50_row,step49_row,matched_phases,projected_mass_delta_max_abs,active_cell_count_delta_max_abs,applied_velocity_delta_max_abs,comparison_pass
original_static_32_40step_vs_step49_prefix,original_static_32_40step,original_static_32_20step,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.5]",0.0,0.0,0.0,True
runtime_geometry_only_32_40step_vs_step49_prefix,runtime_geometry_only_32_40step,runtime_geometry_only_32_20step,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.5]",0.0,0.0,0.0,True
runtime_geometry_plus_wall_velocity_32_40step_vs_step49_prefix,runtime_geometry_plus_wall_velocity_32_40step,runtime_geometry_plus_wall_velocity_32_20step,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.5]",0.0,0.0,0.0,True
wall_velocity_only_32_40step_vs_step49_prefix,wall_velocity_only_32_40step,wall_velocity_only_32_20step,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.5]",0.0,0.0,0.0,True
