step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2.2728173000068637
1,1,moving_boundary,0.9996364116668701,1.0005109310150146,0.0007779246079735458,6.46814299898324e-08,-6.344783400891174e-07,5.331996177915244e-09,-8.712122507859021e-06,0.99994957447052,0.0018001419957727194,0.02264908142387867,4424,0.0,0.41573983430862427,9342,0.00016323452291544527,1024,4.2187501094304025e-05,15.223392200001399
2,2,moving_boundary,0.999387264251709,1.001014232635498,0.0001628234749659896,7.598961104804403e-08,-8.144748164795601e-08,4.954740262519408e-08,-1.752910975483246e-05,0.9998515844345093,0.0035930373705923557,0.022649116814136505,4424,0.0,0.41585874557495117,9342,0.00016000124742276967,1024,4.2187501094304025e-05,15.366594999999506
3,3,moving_boundary,0.999238908290863,1.0015181303024292,0.0008011905010789633,1.61609492010939e-07,-8.221389862228534e-07,9.414800672402635e-08,-2.6237647034577094e-05,0.999712347984314,0.005372874438762665,0.02264910563826561,4424,0.0,0.415712833404541,9342,0.00015722586249466985,1024,4.2187501094304025e-05,15.485529400000814
4,4,moving_boundary,0.9954453110694885,1.0074750185012817,0.008381160907447338,8.775264177529607e-07,-7.151275440264726e-06,2.3332628984462644e-07,-3.449996802373789e-05,0.9995400905609131,0.007130119483917952,0.022649098187685013,4424,0.0,0.41567620635032654,9342,0.0018993165576830506,1024,4.2187501094304025e-05,15.91891810001107
5,5,moving_boundary,0.9929272532463074,1.0133136510849,0.004551582504063845,1.0608979437165544e-06,-2.1051123439974617e-06,7.580736109957797e-07,-4.4370284740580246e-05,0.9993438720703125,0.008832728490233421,0.022649109363555908,4424,0.0,0.4170052707195282,9326,0.0019058490870520473,1024,4.2187501094304025e-05,16.019211200007703
