metric,value
cavity_velocity_hash_first,604ccc296503976eb30c7472a1c33b4b7a882b2e4c785602eb4081152fd92c54
cavity_velocity_hash_second,604ccc296503976eb30c7472a1c33b4b7a882b2e4c785602eb4081152fd92c54
funnel_velocity_hash_first,93f1a0780dde71d31a7a010fb2a7b997d668e00f125ce8bb3343fe326404a32f
funnel_velocity_hash_second,93f1a0780dde71d31a7a010fb2a7b997d668e00f125ce8bb3343fe326404a32f
mantle_velocity_hash_first,62eabe4f89ad5af9e681cab722baab37fcedfcbb26f7cd94eb60a414e2edf58d
mantle_velocity_hash_second,62eabe4f89ad5af9e681cab722baab37fcedfcbb26f7cd94eb60a414e2edf58d
repeatability_pass,True
row_count_first,63
row_count_second,63
velocity_field_hash_first,23463573ceffc274364c9bc2742e8e0780de92eaeb5159c4ce982aa62f8d03f0
velocity_field_hash_second,23463573ceffc274364c9bc2742e8e0780de92eaeb5159c4ce982aa62f8d03f0
