row_name,runtime_geometry_projection_enabled,wall_velocity_application_enabled,phase_sequence,active_cell_count_phase0,active_cell_count_phase035,active_cell_count_phase0975,active_cell_count_delta_phase0_to_phase035,active_cell_count_delta_phase035_to_phase0975,max_applied_velocity_phase0,max_applied_velocity_phase0975,max_applied_velocity_delta_phase0_to_phase0975,progression_pass
original_static_32_40step,False,False,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975]",648,648,648,0.0,0.0,0.0,0.0,0.0,True
runtime_geometry_only_32_40step,True,False,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975]",648,443,648,-205.0,205.0,0.0,0.0,0.0,True
wall_velocity_only_32_40step,False,True,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975]",648,648,648,0.0,0.0,0.0005021311353590662,0.00014722721023086792,-0.00035490392512819833,True
runtime_geometry_plus_wall_velocity_32_40step,True,True,"[0.0, 0.025, 0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975]",648,443,648,-205.0,205.0,0.0005021311353590662,0.00014722721023086792,-0.00035490392512819833,True
