step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
5,2.3227934073551646,0.014187470431304455,2.3086059369238603,0.9938920653096486
10,5.071840796337953,0.16309910138083833,4.908741694957114,0.9678422277176756
15,7.454887642922156,0.5543039386847307,6.900583704237425,0.9256455676818952
20,10.021465261948961,1.1627288965248836,8.858736365424077,0.8839761585623899
25,12.541118565600318,1.9491401621314581,10.59197840346886,0.8445800386994302
30,15.084711285883031,2.877281530429058,12.207429755453973,0.8092584288887417
35,17.638029338234343,3.900335011524728,13.737694326709615,0.778867869151919
40,20.201154858950908,4.8862113452023905,15.314943513748517,0.7581221777012731
45,22.775590661042962,5.852092282980471,16.92349837806249,0.7430542035078669
50,25.36074322428412,6.85232565418444,18.50841757009968,0.7298058028668887
55,27.956739551499666,7.886635118684897,20.07010443281477,0.7178986088790229
60,30.563797932470674,8.949288133582884,21.614509798887788,0.7071931913253735
65,33.18173591869231,10.034675084952127,23.147060833740184,0.6975843846885876
70,35.81096249678254,11.13820092599904,24.672761570783496,0.6889723104482388
75,38.45118286608739,12.274916857781218,26.176266008306175,0.6807662094419658
80,41.10268407466139,13.734959791598044,27.367724283063346,0.6658378862400072
85,43.76562790666823,16.96157500124619,26.80405290542204,0.612445295257334
90,43.91676377261473,22.93070749046062,20.98605628215411,0.47785980749429513
95,43.678335834741475,28.479063539356233,15.199272295385242,0.3479819458527959
100,43.76755727021802,32.93448566992079,10.833071600297231,0.24751373565160512
105,43.67230371029589,37.02690317155128,6.64540053874461,0.152165101773139
110,43.630255200988046,40.5732878104821,3.056967390505946,0.07006531079003907
115,43.56156464972605,43.779940596440795,0.21837594671474392,0.004988036615392241
120,43.49139759474925,46.71789994306525,3.2265023483159965,0.06906351424717529
125,43.42284842355491,49.51008536195339,6.087236938398476,0.12294943331033491
130,43.36379172227819,52.299709397275,8.935917674996816,0.17085979593344372
135,43.298186438486596,55.11437544439025,11.816189005903652,0.2143939563975654
140,43.2265592544055,57.949697461814964,14.723138207409463,0.2540675594917651
145,43.1551779857125,60.804037493405914,17.648859507693416,0.29025801961929587
150,43.08130041077399,63.676165467249106,20.594865056475115,0.32343130126244457
155,43.00627681298218,66.55961110756421,23.55333429458203,0.35386826789775666
160,42.930138825045745,69.31645898542097,26.38632016037522,0.38066457154028804
165,42.849466514356834,70.86553904333724,28.016072528980402,0.3953412745770184
170,42.733932600817354,69.25936898533384,26.525436384516482,0.38298697740277465
175,42.512044326939744,66.12401300472064,23.611968677780894,0.35708614170309383
180,42.22513021798914,63.322641327233214,21.097511109244074,0.33317484342161596
185,42.070095438218424,59.98138129015871,17.911285851940285,0.29861409435195907
190,42.006634964245215,56.36784997410338,14.361215009858164,0.2547767036787108
195,41.914820329177054,52.575214500757056,10.660394171580002,0.20276463487232177
200,41.871085909420586,49.211417593717854,7.340331684297269,0.14915911882274874
205,41.845396714018484,47.090974935172355,5.24557822115387,0.1113924319548529
210,41.82854352501383,45.86320362395268,4.034660098938851,0.08797161515406426
215,41.819425464359725,44.94135111492874,3.1219256505690183,0.06946666206330339
220,41.80102977754704,44.110489001313894,2.3094592237668508,0.052356237168399114
225,41.78098738105682,43.22362592425456,1.442638543197745,0.03337615742200427
230,41.763062022973465,42.272223449547994,0.5091614265745292,0.01204482246320009
235,41.74420353827837,41.3783848695968,0.36581866868156965,0.008763340480220764
240,41.72566976923392,40.32706084610537,1.398608923128549,0.033519148544855756
245,41.70721222747097,38.7396519611846,2.9675602662863696,0.07115220864202833
250,41.69837066760031,36.09112664065343,5.60724402694688,0.13447153778849485
