case,mode,geometry_type,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,completed_lbm_steps,total_mpm_substeps,rho_min_global,rho_max_global,rho_span_global,lbm_max_v_global,mpm_min_J_global,mpm_max_speed_global,solid_vx_initial,solid_vx_final,solid_vx_drift,projection_zone_ux_initial,projection_zone_ux_final,bb_link_count_min,bb_link_count_max,active_reaction_particle_count_min,active_reaction_particle_count_max,cell_force_max_norm,hydro_force_max_norm,estimated_memory_mb,stable,well_behaved,elapsed_seconds,notes
long_box_48_moving_boundary,moving_boundary,box,48,13824,50,10,50,500,0.9888914823532104,1.0172829627990723,0.028391480445861816,0.012052456848323345,0.9923995733261108,0.08707759529352188,0.026045124977827072,0.04584386572241783,0.01979874074459076,0.0,0.0004604920104611665,5964,6120,8622,8928,0.0,0.4111795127391815,27.158203125,True,True,45.77210160001414,48^3 box moving_boundary long-run validation; no new FSI physics
long_squid_proxy_48_moving_boundary,moving_boundary,squid_proxy,48,4096,30,10,30,300,0.9910269379615784,1.012060523033142,0.02103358507156372,0.007719209883362055,0.9938786625862122,0.06466298550367355,0.026041535660624504,0.026658635586500168,0.0006170999258756638,0.0,0.000255194230703637,6616,6668,3275,3299,0.0,0.4203420877456665,26.15625,True,True,81.59568369999761,48^3 procedural squid_proxy moving_boundary long-run; not real squid validation
feasibility_64_moving_boundary,moving_boundary,box,64,32768,5,5,5,25,0.9922732710838318,1.0027772188186646,0.010503947734832764,0.0053519317880272865,0.9955478310585022,0.041633959859609604,0.01952994056046009,0.0212565790861845,0.001726638525724411,0.0,0.00016246188897639513,11186,11186,16570,16570,0.0,0.4023546278476715,64.375,True,True,137.65931580000324,64^3 moving_boundary feasibility baseline; not full validation
mode_compare_64_none,none,box,64,32768,5,5,5,25,1.0,1.0000003576278687,3.5762786865234375e-07,0.0,0.9999997019767761,0.0195330623537302,0.01952994056046009,0.019529951736330986,1.1175870895385742e-08,0.0,0.0,0,0,0,0,0.0,0.0,64.375,True,True,14.424134899978526,64^3 mode comparison row; not full 64^3 validation
mode_compare_64_penalty,penalty,box,64,32768,5,5,5,25,0.9999992847442627,1.0000015497207642,2.2649765014648438e-06,2.6302211608708603e-06,0.9999989867210388,0.01953125,0.01952994056046009,0.019438041374087334,-9.189918637275696e-05,0.0,2.29881652558106e-06,0,0,0,0,2.4902524273784366e-06,2.4902524273784366e-06,64.375,True,True,116.39672660001088,64^3 mode comparison row; not full 64^3 validation
mode_compare_64_moving_boundary,moving_boundary,box,64,32768,5,5,5,25,0.9922733306884766,1.002777338027954,0.010504007339477539,0.005351927597075701,0.9955478310585022,0.04163375496864319,0.01952994056046009,0.021256571635603905,0.001726631075143814,0.0,0.0001624621800146997,11186,11186,16570,16570,0.0,0.4023546278476715,64.375,True,True,134.01205520000076,64^3 mode comparison row; not full 64^3 validation
