step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
25,43.58145830855584,0.7573621607120526,42.82409614784378,0.9826219178956807
50,43.78227481508577,3.903113546466398,39.87916126861937,0.910851741647706
75,43.78933399414407,7.349134309981362,36.440199684162714,0.8321706762892499
100,43.79009037814138,63.34672680966342,19.556636431522044,0.308723708650069
125,43.63348347385826,103.73431405740772,60.10083058354945,0.5793727093070572
150,43.38993305083337,112.86994426604355,69.48001121521017,0.6155758441010672
175,43.97421631304866,85.54829875514494,41.574082442096284,0.48597205376449387
200,40.81248595945043,50.88239862436828,10.069912664917851,0.19790562035523285
225,38.83164093066277,45.21331574801749,6.381674817354721,0.14114591490969214
250,39.4108057867609,71.49595495689933,32.08514917013842,0.44876873369242576
