step,total_mpm_substeps,reaction_transfer_mode,area_policy,area_scale,raw_area_scale,area_proxy_total,area_weighted_hydro_sum_x,area_weighted_hydro_sum_y,area_weighted_hydro_sum_z,bb_link_count,active_reaction_particle_count,max_grid_reaction_norm,net_grid_reaction_force_x,net_grid_reaction_force_y,net_grid_reaction_force_z,cell_force_max_norm,hydro_force_max_norm,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed
0,0,link_area_experimental,inverse_length,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.02604166604578495
10,100,link_area_experimental,inverse_length,0.7840885519981384,0.7840885519981384,5219.99462890625,0.7321054339408875,-0.03101409412920475,0.008485229685902596,6654,3275,1.0519055649638176e-05,0.0003619861963670701,0.0011652695247903466,-0.00014910315803717822,0.0,0.4201757311820984,0.991046130657196,1.0120292901992798,0.007718052715063095,0.9939622282981873,0.053442224860191345
20,200,link_area_experimental,inverse_length,0.7994040846824646,0.7994040846824646,5181.953125,0.46335089206695557,-0.09390009194612503,-0.0012108322698622942,6606,3299,1.0526795449550264e-05,0.00042184459744021297,0.0011214816477149725,2.4328452127519995e-05,0.0,0.4203343093395233,0.9921448826789856,1.0105150938034058,0.006503062788397074,0.9948464632034302,0.06264450401067734
