step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
5,2.3227934073551646,0.013470697992200627,2.309322709362964,0.99420064739742
10,5.071840796337953,0.14215103979951163,4.929689756538441,0.971972495685955
15,7.454887642922156,0.44209420055708143,7.012793442365075,0.9406974025991102
20,10.021465261948961,0.8738418051522716,9.14762345679669,0.9128029901505315
25,12.541118565600318,1.4125930568427203,11.128525508757598,0.8873630729624553
30,15.084711285883031,2.0379115105440677,13.046799775338965,0.8649021865966213
35,17.638029338234343,2.732865685547086,14.905163652687257,0.8450583320199501
40,20.201154858950908,3.4843749653243803,16.716779893626526,0.8275160509558446
45,22.775590661042962,4.281722389508648,18.493868271534314,0.8120038925342815
50,25.36074322428412,5.11646291704699,20.244280307237133,0.7982526430003152
55,27.956739609124945,5.981768048198359,21.974971560926587,0.7860348477028438
60,30.563796380665266,6.872284576034603,23.691511804630665,0.7751495105371784
65,33.181736133431855,7.783591797223733,25.398144336208123,0.76542542060114
70,35.81095871466552,8.712579014461902,27.098379700203616,0.7567063455663957
75,38.45118584017162,9.67496789197088,28.77621794820074,0.7483831075539152
80,41.10267695337464,10.956669957578491,30.14600699579615,0.7334317185713395
85,43.76561943621728,13.992700810305012,29.77291862591227,0.6802809833253346
90,43.916789167377175,19.80384816747133,24.112940999905845,0.5490597435984169
95,43.67976154765138,25.295472160093446,18.384289387557935,0.4208880437110912
100,43.77648932474091,29.85174311178263,13.92474621295828,0.3180873210197902
105,43.69691765444547,34.240559013414185,9.456358641031287,0.21640791041171417
110,43.67443852470591,38.26401991530902,5.410418609396892,0.1238806677809105
115,43.628027730249805,42.06803472661125,1.559993003638553,0.03575667030570169
120,43.58126992944572,45.675520559678844,2.0942506302331267,0.045850613295075976
125,43.53080361149165,49.125368930906276,5.594565319414627,0.1138834260417109
130,43.477088409618545,52.44981321983187,8.972724810213322,0.17107257889758573
135,43.42102071524366,55.67420395489624,12.253183239652586,0.22008726428453917
140,43.362887213922306,58.81832335164707,15.45543613772476,0.26276566989718464
145,43.30288986628748,61.89915664323745,18.596266776949967,0.3004284353037568
150,43.24145922468033,64.92998384570649,21.68852462102616,0.33402941655683654
155,43.178622144582434,67.91651625366764,24.737894109085204,0.364239738338306
160,43.11467720627534,70.73921743438562,27.624540228110284,0.39051238096793356
165,43.04589068690716,72.37873788735457,29.332847200447418,0.4052688407761282
170,42.94038850055017,70.99799040307096,28.057601902520787,0.39518867707707933
175,42.725175352501736,68.35559645667969,25.630421104177955,0.3749571715085716
180,42.44563920508247,66.49484155212596,24.04920234704349,0.36167019554729046
185,42.29421390963208,64.55402315925082,22.25980924961874,0.34482450760203054
190,42.212848084076924,62.71971925862971,20.506871174552785,0.3269605064715147
195,42.09029861842964,60.997657241691826,18.907358623262184,0.3099686033570979
200,42.00537536943319,59.353003272588886,17.347627903155697,0.29227885610916315
205,41.9331071615825,57.839399885880994,15.906292724298496,0.2750079142536424
210,41.86767693316615,56.44125113184255,14.573574198676397,0.25820785164087906
215,41.8144808864846,55.00371763257752,13.189236746092917,0.23978809640098245
220,41.767705791053245,53.53286487630214,11.765159085248897,0.21977450884488495
225,41.7275440127579,52.174227316289674,10.44668330353177,0.20022689057189239
230,41.69291529554368,50.8932080875025,9.200292791958823,0.18077643633980459
235,41.66253960209256,49.62038211983922,7.957842517746663,0.16037447068681396
240,41.63603328893555,48.21007474818375,6.5740414592482,0.1363623992202142
245,41.61276056420046,46.26565340634933,4.652892842148873,0.10056905067961985
250,41.60008905325571,43.2369765276396,1.6368874743838902,0.037858509216931395
