mode,stable,fluid_mean_ux_final,projection_zone_ux_final,solid_mean_vx_initial,solid_mean_vx_final,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,cell_force_max_norm,hydro_force_max_norm,bb_link_count,active_reaction_particle_count
none,True,0.0,0.0,0.15625476837158203,0.15625588595867157,1.0000003576278687,1.0000003576278687,0.0,0.9999996423721313,0.1562570184469223,0.0,0.0,0,0
penalty,True,1.4519496289722156e-06,3.118396125501022e-05,0.15625476837158203,0.15365304052829742,0.9999890327453613,1.0000132322311401,4.152301698923111e-05,0.9999939203262329,0.1536903828382492,1.9649700334412046e-05,1.9649700334412046e-05,0,0
moving_boundary,True,0.0005752427387051284,0.0012939389562234282,0.15625476837158203,0.1509043574333191,0.9851434230804443,1.0149197578430176,0.021358629688620567,0.9723308682441711,0.21920575201511383,0.0,0.40216314792633057,2322,3520
