check,pass,value_first,value_second,notes
row_count,True,243,243,row counts must match
displacement_hash,True,41f18b424458ecb86507682ed868f930637dd6fd517ac45cb3de586103f2f8e8,41f18b424458ecb86507682ed868f930637dd6fd517ac45cb3de586103f2f8e8,full displacement hash must repeat
mantle_displacement_hash,True,c7f09c3fcee67a68db0901d3aad0ef4a4d4882b258ee93eb62e7c90b9b299b77,c7f09c3fcee67a68db0901d3aad0ef4a4d4882b258ee93eb62e7c90b9b299b77,mantle hash must repeat
cavity_displacement_hash,True,f1c2beef5f7b93c59e143e4a5ec6689d9b1473e89e42e90eb3ab58b45b10c256,f1c2beef5f7b93c59e143e4a5ec6689d9b1473e89e42e90eb3ab58b45b10c256,cavity hash must repeat
funnel_displacement_hash,True,7b03785e8241893f651ecab86e19e7da70746f620c542bd1b8eaa01689a31d00,7b03785e8241893f651ecab86e19e7da70746f620c542bd1b8eaa01689a31d00,funnel hash must repeat
repeatability_pass,True,True,True,all repeatability checks must pass
