mode,total_time,init_time,projection_time,coupling_time,lbm_step_time,mpm_substep_time,diagnostics_time,export_time,steps,substeps,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed
none,69.17063930002041,61.482737299986184,0.717290399945341,0.0,3.3153086999664083,2.5602193000377156,1.0915751000284217,1.400010660290718e-06,10,100,1.0000003576278687,1.0000003576278687,0.0,0.9999997019767761,0.15625445544719696
penalty,41.766731499985326,31.8858651999617,0.7542968000634573,0.2239187000086531,3.341393599868752,3.8190501999342814,1.738234700052999,1.800013706088066e-06,10,100,0.999984860420227,1.000016212463379,2.863191366486717e-05,0.9999889135360718,0.15497155487537384
moving_boundary,45.17759769997792,34.174273299984634,0.7380416999803856,0.5759623000049032,4.187514900055248,3.8694181999308057,1.6292008999735117,1.300009898841381e-06,10,100,0.9684749245643616,1.0298174619674683,0.0259571336209774,0.9881106019020081,0.2895991802215576
