sample_index,phase,region_id,displacement_model,point_count,displacement_norm_min,displacement_norm_max,displacement_norm_mean,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,mantle_radius_scale,mantle_radius_rate,volume_scale,volume_rate,aperture_scale,aperture_rate,diagnostic_only,apply_to_driver,apply_to_lbm,apply_to_mpm,apply_to_projection,update_dynamic_solid,driver_integration_enabled,finite_pass,bounds_pass,scope_note
5,0.0625,mantle_outer,radial_scale_proxy,648,0.00035704216485251783,0.0021900983174459763,0.0016566545730076956,0.36113194620225053,0.361410399472711,0.39226434673203475,0.6388680537977495,0.7948734828513125,0.6077356532679653,0.9873587827988338,-0.3760932944606381,0.9662900874635568,-1.002915451895042,0.5395043731778424,20.845481049562675,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
5,0.0625,mantle_cavity_proxy,volume_scale_proxy,100,0.0002764861959232635,0.001207545013876767,0.0007878989007877066,0.4227629155175852,0.516574856504092,0.45365774931055114,0.5772370844824147,0.7019438592618874,0.5463422506894489,0.9873587827988338,-0.3760932944606381,0.9662900874635568,-1.002915451895042,0.5395043731778424,20.845481049562675,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
5,0.0625,funnel_outlet_proxy,aperture_scale_proxy,8,0.006442299391276849,0.006442299391276849,0.006442299391276849,0.4798196064139942,0.390625,0.4798196064139942,0.5201803935860059,0.421875,0.5201803935860059,0.9873587827988338,-0.3760932944606381,0.9662900874635568,-1.002915451895042,0.5395043731778424,20.845481049562675,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
6,0.07500000000000001,mantle_outer,radial_scale_proxy,648,0.0005002450223230953,0.003068505318281066,0.0023211073801275395,0.3618366240844505,0.36222675969365775,0.39292185769158594,0.6381633759155495,0.7940707121895146,0.6070781423084141,0.9822886297376093,-0.431851311953352,0.9527696793002915,-1.151603498542272,0.8711370262390672,18.419825072886287,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
6,0.07500000000000001,mantle_cavity_proxy,volume_scale_proxy,100,0.0003891865743563964,0.001699760473619738,0.001109059615482008,0.4231248446710981,0.5169620338353539,0.4538749068026589,0.5768751553289019,0.7014624066247184,0.5461250931973411,0.9822886297376093,-0.431851311953352,0.9527696793002915,-1.151603498542272,0.8711370262390672,18.419825072886287,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
6,0.07500000000000001,funnel_outlet_proxy,aperture_scale_proxy,8,0.017716323326011352,0.017716323326011352,0.017716323326011352,0.47184766763848396,0.390625,0.47184766763848396,0.528152332361516,0.421875,0.528152332361516,0.9822886297376093,-0.431851311953352,0.9527696793002915,-1.151603498542272,0.8711370262390672,18.419825072886287,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
7,0.08750000000000001,mantle_outer,radial_scale_proxy,648,0.0006619754732130466,0.0040605606642376765,0.003071527127252107,0.3626324732290375,0.36314874064399927,0.3936644374545292,0.6373675267709625,0.7931640790162173,0.6063355625454707,0.9765625,-0.481049562682216,0.9375,-1.2827988338192426,1.0,5.154518950437314,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
7,0.08750000000000001,mantle_cavity_proxy,volume_scale_proxy,100,0.0005177576366233779,0.0022612906601481918,0.0014754467990988629,0.42353774138342065,0.5174037342223281,0.4541226448300524,0.5764622586165794,0.7009131549021186,0.5458773551699476,0.9765625,-0.481049562682216,0.9375,-1.2827988338192426,1.0,5.154518950437314,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
7,0.08750000000000001,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9765625,-0.481049562682216,0.9375,-1.2827988338192426,1.0,5.154518950437314,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
8,0.1,mantle_outer,radial_scale_proxy,648,0.0008399175683449491,0.005152058312175611,0.003897167946880801,0.3635080972282132,0.3641631397325612,0.39448145242044064,0.6364919027717868,0.792166566145358,0.6055185475795594,0.970262390670554,-0.52368804664723,0.9206997084548105,-1.3965014577259538,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
8,0.1,mantle_cavity_proxy,volume_scale_proxy,100,0.0006608398712772009,0.0028861979487512105,0.0018831862706104325,0.42399723968139413,0.5178952871215682,0.4543983438088365,0.5760027603186059,0.7003019118862223,0.5456016561911635,0.970262390670554,-0.52368804664723,0.9206997084548105,-1.3965014577259538,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
