canonical_import_pass,canonical_module,error,legacy_import_pass,legacy_module,pass,same_object,symbol
True,src.mpm_lbm.sim.motion.boundary_motion_config,,True,src.boundary_motion_config,True,True,BoundaryMotionInterfaceConfig
True,src.mpm_lbm.sim.motion.boundary_motion_config,,True,src.boundary_motion_config,True,True,validate_boundary_motion_interface_config
True,src.mpm_lbm.sim.motion.boundary_motion_config,,True,src.boundary_motion_config,True,True,summarize_boundary_motion_config_validation
True,src.mpm_lbm.sim.motion.boundary_motion_config,,True,src.boundary_motion_config,True,True,execution_flags
True,src.mpm_lbm.sim.motion.boundary_motion_config,,True,src.boundary_motion_config,True,True,execution_flag_enabled_count
True,src.mpm_lbm.sim.motion.geometry_motion_config,,True,src.geometry_motion_config,True,True,GeometryMotionInterfaceConfig
True,src.mpm_lbm.sim.motion.geometry_motion_config,,True,src.geometry_motion_config,True,True,validate_geometry_motion_interface_config
True,src.mpm_lbm.sim.motion.geometry_motion_config,,True,src.geometry_motion_config,True,True,summarize_geometry_motion_config_validation
True,src.mpm_lbm.sim.motion.geometry_motion_config,,True,src.geometry_motion_config,True,True,load_displacement_artifact_summary
True,src.mpm_lbm.sim.motion.geometry_motion_config,,True,src.geometry_motion_config,True,True,mutation_flags
True,src.mpm_lbm.sim.motion.geometry_motion_config,,True,src.geometry_motion_config,True,True,mutation_flag_enabled_count
True,src.mpm_lbm.sim.motion.boundary_motion_interface,,True,src.boundary_motion_interface,True,True,build_boundary_motion_interface_report
True,src.mpm_lbm.sim.motion.boundary_motion_interface,,True,src.boundary_motion_interface,True,True,write_boundary_motion_interface_report
True,src.mpm_lbm.sim.motion.boundary_motion_interface,,True,src.boundary_motion_interface,True,True,build_static_boundary_motion_interface_report
True,src.mpm_lbm.sim.motion.boundary_motion_interface,,True,src.boundary_motion_interface,True,True,write_static_boundary_motion_interface_report
True,src.mpm_lbm.sim.motion.geometry_motion_interface,,True,src.geometry_motion_interface,True,True,load_geometry_motion_interface_config
True,src.mpm_lbm.sim.motion.geometry_motion_interface,,True,src.geometry_motion_interface,True,True,assert_geometry_motion_noop_flags
True,src.mpm_lbm.sim.motion.geometry_motion_interface,,True,src.geometry_motion_interface,True,True,summarize_geometry_motion_interface
True,src.mpm_lbm.sim.motion.geometry_motion_interface,,True,src.geometry_motion_interface,True,True,build_geometry_motion_interface_report
True,src.mpm_lbm.sim.motion.geometry_motion_interface,,True,src.geometry_motion_interface,True,True,write_geometry_motion_interface_report
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,load_wall_velocity_application_config
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,phase_for_lbm_step
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,nearest_wall_velocity_phase
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,build_wall_velocity_grid
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,apply_wall_velocity_to_lbm_solid_vel
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,summarize_wall_velocity_application
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,build_wall_velocity_application_report
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,apply_wall_velocity_application_to_lbm
True,src.mpm_lbm.sim.wall_velocity.application,,True,src.wall_velocity_application,True,True,write_wall_velocity_application_report
True,src.mpm_lbm.sim.wall_velocity.application_config,,True,src.wall_velocity_application_config,True,True,WallVelocityApplicationConfig
True,src.mpm_lbm.sim.wall_velocity.application_config,,True,src.wall_velocity_application_config,True,True,validate_wall_velocity_application_config
True,src.mpm_lbm.sim.wall_velocity.application_config,,True,src.wall_velocity_application_config,True,True,summarize_wall_velocity_application_config_validation
True,src.mpm_lbm.sim.wall_velocity.application_config,,True,src.wall_velocity_application_config,True,True,assert_valid_wall_velocity_application_config
True,src.mpm_lbm.sim.wall_velocity.config,,True,src.wall_velocity_config,True,True,WallVelocityFieldConfig
True,src.mpm_lbm.sim.wall_velocity.config,,True,src.wall_velocity_config,True,True,validate_wall_velocity_config
True,src.mpm_lbm.sim.wall_velocity.config,,True,src.wall_velocity_config,True,True,assert_valid_wall_velocity_config
True,src.mpm_lbm.sim.wall_velocity.config,,True,src.wall_velocity_config,True,True,summarize_wall_velocity_config_validation
True,src.mpm_lbm.sim.wall_velocity.config,,True,src.wall_velocity_config,True,True,step35_execution_flags
True,src.mpm_lbm.sim.wall_velocity.config,,True,src.wall_velocity_config,True,True,step35_execution_flag_enabled_count
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,load_wall_velocity_inputs
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,interpolate_motion_rows_to_phase
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,compute_wall_velocity_summary
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,generate_wall_velocity_field_rows
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,summarize_wall_velocity_rows
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,wall_velocity_hashes
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,canonical_wall_velocity_hash
True,src.mpm_lbm.sim.wall_velocity.field,,True,src.wall_velocity_field,True,True,write_wall_velocity_rows
