case,candidate_id,geometry_type,mode,reaction_transfer_mode,quality_kind,strict,pass,severity,warnings_count,reasons_count,occupied_count,connected_component_count,largest_component_fraction,report_size_bytes,source_report_path
squid_proxy_region_48_link_area,squid_proxy_region,squid_proxy,moving_boundary,link_area_experimental,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step31_static_driver_smoke/squid_proxy_region_48_link_area/geometry_quality_report.json
squid_proxy_region_48_moving_boundary,squid_proxy_region,squid_proxy,moving_boundary,engineering,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step31_static_driver_smoke/squid_proxy_region_48_moving_boundary/geometry_quality_report.json
squid_proxy_region_48_none,squid_proxy_region,squid_proxy,none,engineering,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step31_static_driver_smoke/squid_proxy_region_48_none/geometry_quality_report.json
squid_proxy_region_48_penalty,squid_proxy_region,squid_proxy,penalty,engineering,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step31_static_driver_smoke/squid_proxy_region_48_penalty/geometry_quality_report.json
