metric,value
combined_runtime_geometry_wall_velocity_planned_for_step94,True
duration_reduction_for_visualization_isolation,True
geometry_motion_application_mode_planned_for_step94,diagnostic_only
geometry_mutation_allowed,False
geometry_type_planned_for_step94,squid_proxy
ggui_interactive_window_allowed_for_step94,True
ggui_screenshot_allowed_for_step94,True
ggui_video_allowed_for_step94,False
ggui_visualization_planned_for_step94,True
ggui_visualization_smoke_isolation,True
grid_48_planned_for_step94,False
grid_64_planned_for_step94,False
guard_pass_count,53
guard_row_count,53
link_area_planned_for_step94,False
only_new_feature_from_step92,taichi_ggui_visualization
particle_npy_output_planned_for_step94,False
planned_step94_activation_feature_count,4
planned_step94_duration_lbm_steps,1
previous_step92_n_lbm_steps,10
real_geometry_candidate_data_planned_for_step94,False
real_geometry_planned_for_step94,False
row_count,53
runtime_geometry_planned_for_step94,True
squid_proxy_planned_for_step94,True
step93_activation_feature_count,0
step93_taichi_ggui_visualization_enablement_guard_pass,True
target_lbm_field_planned_for_step94,solid_vel
target_u_lbm_planned_for_step94,"[0.0, 0.0, 0.0]"
vtr_route_allowed_for_step94,False
wall_velocity_application_mode_planned_for_step94,solid_vel_experimental
wall_velocity_planned_for_step94,True
write_particles_allowed_for_step94,False
write_vtk_planned_for_step94,False
