check,artifact_path,summary_key,actual,expected,pass
step75_precondition_artifact_audit,outputs/step75_precondition_artifact_audit/precondition_artifact.json,precondition_artifact_audit_pass,True,True,True
step75_activation_gate_closure_audit,outputs/step75_activation_gate_closure_audit/activation_gate_closure.json,activation_gate_closure_audit_pass,True,True,True
step75_post_gate_campaign_policy_audit,outputs/step75_post_gate_campaign_policy_audit/post_gate_campaign_policy.json,post_gate_campaign_policy_audit_pass,True,True,True
step75_solver_complete_gate_audit,outputs/step75_solver_complete_gate_audit/solver_complete_gate.json,solver_complete_gate_audit_pass,True,True,True
step75_no_simulation_audit,outputs/step75_no_simulation_audit/no_simulation.json,no_simulation_audit_pass,True,True,True
step75_output_artifact_policy_audit,outputs/step75_output_artifact_policy_audit/output_artifact_policy.json,output_artifact_policy_audit_pass,True,True,True
step75_step74_regression_guard,outputs/step75_step74_regression_guard/step74_regression_guard.json,step75_step74_regression_guard_pass,True,True,True
step75_artifact_manifest,outputs/step75_artifact_manifest/artifact_summary.json,artifact_budget_pass,True,True,True
step75_gate_status,outputs/step75_solver_complete_gate_audit/solver_complete_gate.json,gate_status,ready_for_step76_rebaseline_only,ready_for_step76_rebaseline_only,True
step75_allowed_next_step,outputs/step75_solver_complete_gate_audit/solver_complete_gate.json,allowed_next_step,Step76,Step76,True
step75_allowed_next_step_scope,outputs/step75_solver_complete_gate_audit/solver_complete_gate.json,allowed_next_step_scope,minimal safe rebaseline only,minimal safe rebaseline only,True
step75_activation_features_allowed,outputs/step75_solver_complete_gate_audit/solver_complete_gate.json,activation_features_allowed_in_next_step,[],[],True
