metric,value
artifact_check_count,7
artifact_pass_count,7
pass_count,7
planned_step92_activation_feature_count,3
row_count,7
step91_activation_feature_count,0
step91_artifact_budget_pass,True
step91_driver_run_dir_count,0
step91_first_user_simulation_10step_dry_run_guard_pass,True
step91_first_user_simulation_10step_dry_run_plan_pass,True
step91_output_guard_pass,True
step91_particle_npy_count,0
step91_vtr_count,0
step92_allowed_n_lbm_steps,10
step92_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_dry_run
step92_step91_regression_guard_pass,True
