mode,stable,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,active_cell_count,projected_mass,cell_force_max_norm,hydro_force_max_norm,bb_link_count,active_reaction_particle_count,max_grid_reaction_norm
none,True,1.0000003576278687,1.0000003576278687,0.0,0.9999997615814209,0.07813375443220139,1902,0.022940371185541153,0.0,0.0,0,0,0.0
penalty,True,0.9999939203262329,1.000006914138794,1.3905694686400238e-05,0.999988853931427,0.07795801758766174,1902,0.022940371185541153,9.924407095240895e-06,9.924407095240895e-06,0,0,4.5331908893331274e-08
moving_boundary,True,0.9841037392616272,1.0317341089248657,0.01537370216101408,0.9780033230781555,0.17036089301109314,1901,0.022940393537282944,0.0,0.4304000437259674,2466,3705,4.217225796310231e-05
