x_index,x_norm,x_m,fluid_cell_count_static_mask,fluid_cell_count_dynamic_solver,mass_flux_lbm,mean_ux_lbm,mean_speed_lbm,max_speed_lbm,mass_flux_mps_proxy_sum,outlet_plane,inlet_plane,midplane
0,0.010416666666666666,0.0010416666666666667,80,80,1.6483047008514404,0.019689295440912247,0.019843947142362595,0.021167652681469917,824.1523504257202,False,True,False
1,0.03125,0.003125,80,80,1.6358729600906372,0.01955924555659294,0.019691690802574158,0.02604229748249054,817.9364800453186,False,False,False
2,0.052083333333333336,0.005208333333333334,80,80,1.6216922998428345,0.019403723999857903,0.01944577321410179,0.027896711602807045,810.8461499214172,False,False,False
3,0.07291666666666667,0.007291666666666668,80,80,1.612419843673706,0.019304592162370682,0.019318507984280586,0.028106188401579857,806.209921836853,False,False,False
4,0.09375,0.009375000000000001,80,80,1.596024751663208,0.019119899719953537,0.019124995917081833,0.027561787515878677,798.012375831604,False,False,False
5,0.11458333333333333,0.011458333333333334,80,80,1.5867079496383667,0.019019290804862976,0.0190211683511734,0.02709399163722992,793.3539748191833,False,False,False
6,0.13541666666666666,0.013541666666666667,80,80,1.5707224607467651,0.01883920468389988,0.018839899450540543,0.02663823775947094,785.3612303733826,False,False,False
7,0.15625,0.015625,80,80,1.5586130619049072,0.018705595284700394,0.018705960363149643,0.026241442188620567,779.3065309524536,False,False,False
8,0.17708333333333334,0.017708333333333336,80,80,1.5449148416519165,0.018551908433437347,0.018552370369434357,0.02581588178873062,772.4574208259583,False,False,False
9,0.19791666666666666,0.019791666666666666,80,80,1.5309631824493408,0.01839641109108925,0.018397172912955284,0.025402795523405075,765.4815912246704,False,False,False
10,0.21875,0.021875000000000002,80,80,1.5183994770050049,0.01825582981109619,0.018257001414895058,0.025003353133797646,759.1997385025024,False,False,False
11,0.23958333333333334,0.023958333333333335,80,80,1.504227638244629,0.018096448853611946,0.018098438158631325,0.024601440876722336,752.1138191223145,False,False,False
12,0.2604166666666667,0.02604166666666667,80,80,1.487099289894104,0.017902303487062454,0.017904911190271378,0.024273868650197983,743.549644947052,False,False,False
13,0.28125,0.028125,80,80,1.4709608554840088,0.017718713730573654,0.017721224576234818,0.023887543007731438,735.4804277420044,False,False,False
14,0.3020833333333333,0.030208333333333334,80,80,1.4517581462860107,0.017500564455986023,0.01750289462506771,0.023474877700209618,725.8790731430054,False,False,False
15,0.3229166666666667,0.03229166666666667,80,80,1.4372568130493164,0.01733655296266079,0.017338672652840614,0.02313094772398472,718.6284065246582,False,False,False
16,0.34375,0.034375,80,80,1.4330980777740479,0.01729128137230873,0.017292911186814308,0.022933127358555794,716.5490388870239,False,False,False
17,0.3645833333333333,0.036458333333333336,80,80,1.4239604473114014,0.017187574878335,0.01718961074948311,0.02246435359120369,711.9802236557007,False,False,False
18,0.3854166666666667,0.03854166666666667,80,80,1.3938610553741455,0.01683313213288784,0.016836170107126236,0.022165784612298012,696.9305276870728,False,False,False
19,0.40625,0.040625,80,80,1.3207497596740723,0.01596170663833618,0.01596989668905735,0.021994929760694504,660.3748798370361,False,False,False
20,0.4270833333333333,0.042708333333333334,80,80,1.1943556070327759,0.014451834373176098,0.01447336096316576,0.020652463659644127,597.1778035163879,False,False,False
21,0.4479166666666667,0.044791666666666674,80,80,1.0834541320800781,0.013118970207870007,0.013196395710110664,0.01924199052155018,541.7270660400391,False,False,False
22,0.46875,0.046875,80,80,1.095636248588562,0.013240337371826172,0.013556042686104774,0.020922016352415085,547.818124294281,False,False,False
23,0.4895833333333333,0.04895833333333333,80,80,1.2231378555297852,0.014731469564139843,0.015736229717731476,0.023215029388666153,611.5689277648926,False,False,False
