metric,value
artifact_budget_pass,True
output_guard_pass,True
pass_count,31
private_absolute_path_count,0
protected_diagnostics_edit_count,0
protected_external_edit_count,0
protected_real_geometry_candidate_edit_count,0
protected_sim_edit_count,0
row_count,31
step95_dense_displacement_output_count,0
step95_dense_wall_velocity_output_count,0
step95_displaced_particle_output_count,0
step95_driver_run_dir_count,0
step95_forbidden_file_count,0
step95_ggui_screenshot_count,0
step95_ggui_video_count,0
step95_large_file_count,0
step95_particle_npy_count,0
step95_raw_geometry_output_count,0
step95_real_geometry_candidate_output_count,0
step95_sparse_wall_velocity_output_count,0
step95_total_size_bytes,619676
step95_total_size_mb,0.5909690856933594
step95_vtr_count,0
