step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
25,43.58145830855584,6.092821640242882,37.48863666831296,0.8601969306050792
50,43.78227480669423,9.690099659637038,34.09217514705719,0.7786752812086538
75,43.78932588797117,12.494504490182957,31.294821397788212,0.7146678046118273
100,43.4751962575405,85.13697206722244,41.66177580968194,0.48934998271710484
125,43.197116426071254,77.49030470057384,34.29318827450259,0.44254811498048785
150,43.04881281565471,74.29367575993453,31.244862944279816,0.4205588514053535
175,39.98507542882881,67.73117034125198,27.746094912423175,0.40965030978542366
200,41.3739318061205,58.35445773732047,16.98052593119997,0.2909893535064093
225,41.4405879741029,54.99106591941627,13.550477945313375,0.2464123529660291
250,41.59023923182529,14.412305101996845,27.177934129828444,0.6534690502340655
