case,geometry_type,geometry_source,quality_kind,mode,reaction_transfer_mode,quality_check_enabled,quality_check_strict,quality_pass,quality_severity,quality_warnings_count,quality_reasons_count,quality_gate_strict,quality_report_path,driver_timing_path,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,completed_lbm_steps,total_mpm_substeps,rho_min_global,rho_max_global,lbm_max_v_global,mpm_min_J_global,mpm_max_speed_global,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count_min,bb_link_count_max,active_reaction_particle_count_max,area_scale_final,area_scale_min,area_scale_max,raw_area_scale_final,stable,notes
voxel_sphere,voxel,configs/step20_voxel_sphere_geometry.json,voxel,moving_boundary,engineering,True,True,True,ok,0,0,True,outputs/step24_strict_imported_geometry_64_feasibility/voxel_sphere_64_moving_boundary_engineering/geometry_quality_report.json,outputs/step24_strict_imported_geometry_64_feasibility/voxel_sphere_64_moving_boundary_engineering/driver_timing.json,64,4096,5,5,5,25,0.9943731427192688,1.0056612491607666,0.005045215133577585,0.9998955726623535,0.020823171362280846,0.09944117069244385,31116,0.0,0.41816315054893494,102036,102036,4096,1.0,1.0,1.0,1.0,True,Step 24 strict quality-gated synthetic imported geometry long-run validation; no new FSI physics
mesh_cube,mesh,configs/step20_mesh_cube_geometry.json,mesh,moving_boundary,engineering,True,True,True,ok,0,0,True,outputs/step24_strict_imported_geometry_64_feasibility/mesh_cube_64_moving_boundary_engineering/geometry_quality_report.json,outputs/step24_strict_imported_geometry_64_feasibility/mesh_cube_64_moving_boundary_engineering/driver_timing.json,64,4096,5,5,5,25,0.9971107244491577,1.0029230117797852,0.004664374981075525,0.9999825954437256,0.019801555201411247,0.7478522062301636,88946,0.0,0.41698551177978516,410338,410338,4096,1.0,1.0,1.0,1.0,True,Step 24 strict quality-gated synthetic imported geometry long-run validation; no new FSI physics
mesh_cube,mesh,configs/step20_mesh_cube_geometry.json,mesh,moving_boundary,link_area_experimental,True,True,True,ok,0,0,True,outputs/step24_strict_imported_geometry_64_feasibility/mesh_cube_64_moving_boundary_link_area_experimental/geometry_quality_report.json,outputs/step24_strict_imported_geometry_64_feasibility/mesh_cube_64_moving_boundary_link_area_experimental/driver_timing.json,64,4096,5,5,5,25,0.9971106648445129,1.0029228925704956,0.004664362408220768,0.9999826550483704,0.019801532849669456,0.747852623462677,88946,0.0,0.416985422372818,410338,410338,4096,0.7721171975135803,0.25,2.0,0.7721171975135803,True,Step 24 strict quality-gated synthetic imported geometry long-run validation; no new FSI physics
