actual,artifact_path,check,expected,pass,summary_key
True,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_wall_velocity_solid_vel_smoke_matrix_pass,True,True,step82_wall_velocity_solid_vel_smoke_matrix_pass
True,outputs/step82_wall_velocity_solid_vel_quality/wall_velocity_solid_vel_quality.json,step82_wall_velocity_solid_vel_quality_pass,True,True,step82_wall_velocity_solid_vel_quality_pass
True,outputs/step82_activation_guard/activation_guard.json,step82_activation_guard_pass,True,True,step82_activation_guard_pass
True,outputs/step82_step81_regression_guard/step81_regression_guard.json,step82_step81_regression_guard_pass,True,True,step82_step81_regression_guard_pass
True,outputs/step82_output_guard/output_guard.json,step82_output_guard_pass,True,True,output_guard_pass
True,outputs/step82_artifact_manifest/artifact_summary.json,step82_artifact_budget_pass,True,True,artifact_budget_pass
1,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_activation_feature_count,1,True,activation_feature_count
1,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_wall_velocity_enabled_count,1,True,wall_velocity_enabled_count
0,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_runtime_geometry_enabled_count,0,True,runtime_geometry_enabled_count
0,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_combined_runtime_geometry_wall_velocity_enabled_count,0,True,combined_runtime_geometry_wall_velocity_enabled_count
0,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_real_geometry_enabled_count,0,True,real_geometry_enabled_count
0,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_squid_proxy_enabled_count,0,True,squid_proxy_enabled_count
0,outputs/step82_wall_velocity_solid_vel_smoke_matrix/wall_velocity_solid_vel_smoke_matrix.json,step82_link_area_enabled_count,0,True,link_area_enabled_count
0,outputs/step82_artifact_manifest/artifact_summary.json,step82_vtr_count,0,True,step82_vtr_count
0,outputs/step82_artifact_manifest/artifact_summary.json,step82_particle_npy_count,0,True,step82_particle_npy_count
